main_position,player_id,player_name,team,team_id,minutes_played,progressive_passes_per90,chances_created_per90,dribbles_completed_per90,pass_completion_rate,duels_won_per90,pressures_per90,goals_scored_per90,goal_assists_per90,dribble_success_rate,duel_success_rate,ball_recoveries_per90,rating
Left Center Midfield,9578,Jonathan Howson,Norwich City,56,3111,27.63231197771587,19.504643962848295,20.930232558139537,50.74580484773149,46.666666666666664,24.14706856575025,10.666666666666668,24.444444444444443,69.56684092606422,63.78478664192948,34.96503496503495,36.52439350584262
Right Center Midfield,10783,Lee Cattermole,Sunderland,41,2543,26.852367688022284,13.622291021671822,9.043927648578812,52.858918582970794,45.77777777777778,13.348790990394175,0.0,0.0,90.88872292755788,82.83858998144713,23.6013986013986,36.096736323757156
Right Center Midfield,16072,Vurnon Anita,Newcastle United,37,2259,46.85236768802228,6.501547987616096,9.560723514211887,55.87321317588564,61.33333333333334,32.22921497184499,4.0,24.444444444444443,54.46228528752801,52.82003710575138,42.132867132867126,37.855233821423624
Right Center Midfield,16334,Graham Dorrans,Norwich City,56,1317,43.89972144846796,25.69659442724458,19.121447028423773,82.7532628962088,22.22222222222222,15.402451142762514,0.0,13.333333333333334,88.16280806572068,64.21150278293135,58.216783216783206,40.889982322171576
Right Center Midfield,42900,Cheik Ismaël Tioté,Newcastle United,37,1507,25.738161559888574,6.501547987616096,17.829457364341085,85.4257302672467,70.22222222222221,20.503477972838695,0.0,0.0,77.80059746079164,67.43970315398884,42.83216783216782,38.990971786355594
Left Center Midfield,5204,Bruno Miguel Borges Fernandes,Udinese,230,2247,48.35654596100278,42.72445820433436,27.39018087855298,35.48788067122436,15.555555555555555,20.934084133819148,16.0,35.55555555555556,55.17176997759521,38.905380333951754,48.25174825174825,35.96462035666239
Right Center Midfield,5469,Marcelo Brozović,Inter Milan,238,2341,80.2785515320334,53.56037151702786,35.91731266149871,64.26351771286514,43.111111111111114,57.40311361377941,20.0,33.33333333333333,50.31740104555639,62.48608534322819,55.244755244755225,55.47141192843079
Left Center Midfield,5512,Emil Hallfreðsson,Udinese,230,2058,32.311977715877426,28.482972136222905,26.873385012919897,43.87818520820386,30.222222222222218,46.93607154686983,0.0,8.88888888888889,82.58028379387603,46.641929499072354,54.02097902097901,36.83674998231822
Right Center Midfield,5566,Sami Khedira,Juventus,224,1859,1.6713091922005558,8.359133126934983,12.4031007751938,80.51584835301426,3.5555555555555562,6.194104007949655,32.0,31.11111111111111,74.68259895444362,66.17810760667902,7.167832167832162,29.06748552138644
Right Center Midfield,5589,Sergej Milinković-Savić,Lazio,236,1600,34.93036211699164,24.767801857585138,29.71576227390181,35.674331883157244,44.888888888888886,39.81450811526996,6.666666666666667,0.0,44.6975354742345,63.78478664192948,56.29370629370629,34.95384086963957
Right Center Midfield,5605,Oscar Hiljemark,Palermo,2256,3359,7.576601671309188,25.69659442724458,9.30232558139535,49.78247358607828,5.777777777777775,23.981450811527004,13.333333333333334,28.888888888888893,57.654966392830474,45.69573283858997,16.78321678321678,25.926195501861976
Right Center Midfield,5660,Piotr Zieliński,Empoli,290,3285,19.164345403899716,35.91331269349845,48.57881136950905,69.14232442510875,32.0,22.457767472673076,17.333333333333336,22.222222222222225,66.57953696788648,58.49721706864563,34.96503496503495,38.02976944048521
Left Center Midfield,6589,Geoffrey Kondogbia,Inter Milan,238,2162,25.292479108635092,12.383900928792569,34.88372093023256,91.67184586699811,40.8888888888889,46.70420669095728,5.333333333333334,0.0,61.725168035847645,44.89795918367346,76.74825174825175,37.33947635097425
Right Center Midfield,6759,Roberto Soriano,Sampdoria,234,3087,12.534818941504176,16.099071207430338,20.413436692506462,78.4338098197638,30.222222222222218,18.052335210334547,30.66666666666667,24.444444444444443,54.59297983569829,54.13729128014842,33.56643356643355,32.606105582893896
