main_position,player_id,player_name,team,team_id,minutes_played,interceptions_per90,ball_recoveries_per90,pressures_per90,chances_created_per90,progressive_passes_per90,duels_won_per90,fouls_committed_per90,goals_scored_per90,goal_assists_per90,duel_success_rate,rating
Center Defensive Midfield,5685,Carlos Alberto Sánchez Moreno,Aston Villa,59,1519,20.388349514563103,56.16438356164384,32.91196388261851,4.508196721311476,18.80473982483256,51.99999999999999,41.28787878787878,0.0,0.0,44.24707307226484,34.11953074435296
Right Defensive Midfield,6631,Mathieu Flamini,Arsenal,1,1127,22.33009708737864,1.8835616438356142,25.01128668171557,10.245901639344263,19.783616692426587,27.200000000000003,35.98484848484848,0.0,0.0,17.359709325797336,18.137600235645653
Center Defensive Midfield,7780,Lucas Pezzini Leiva,Liverpool,24,1975,37.864077669902905,42.97945205479452,64.78555304740405,36.47540983606557,62.85419886656363,92.80000000000001,82.19696969696969,0.0,9.30232558139535,54.19862737182075,49.51631014115145
Right Defensive Midfield,9452,Gary O''Neil,Norwich City,56,1784,52.9126213592233,54.79452054794521,43.83747178329572,13.934426229508198,38.48531684698609,48.80000000000001,60.60606060606061,0.0,0.0,49.85870004037141,42.54895936235043
Right Defensive Midfield,9463,Alexander Banor Tettey,Norwich City,56,2165,19.90291262135922,39.726027397260275,22.753950338600447,7.377049180327869,10.355486862442044,26.0,52.65151515151515,38.0952380952381,0.0,41.09810254339927,27.09898492924907
Right Defensive Midfield,9625,Glenn Whelan,Stoke City,30,3475,30.582524271844658,49.65753424657535,22.573363431151243,20.491803278688526,34.775888717156114,26.0,7.954545454545453,0.0,4.651162790697675,43.48001614856681,34.98193354647833
Left Defensive Midfield,9649,Jack Colback,Newcastle United,37,2636,36.407766990291265,24.48630136986301,47.2234762979684,22.54098360655738,16.589386913961874,50.0,61.36363636363637,14.285714285714285,6.976744186046512,40.85587404117885,33.08667511948526
Right Defensive Midfield,10956,Eric Dier,Tottenham Hotspur,38,3471,25.72815533980582,0.0,26.59142212189616,19.672131147540988,40.85522926326636,20.800000000000004,36.36363636363636,33.333333333333336,11.627906976744187,29.531691562373847,23.782326665058267
Left Defensive Midfield,11386,Santiago Cazorla González,Arsenal,1,1402,13.106796116504855,71.57534246575342,9.75169300225733,100.0,80.31942297784647,32.8,22.348484848484844,0.0,44.18604651162791,100.0,52.93835991632542
Center Defensive Midfield,13846,Jan Kirchhoff,Sunderland,41,1322,74.27184466019418,50.0,35.440180586907445,33.606557377049185,44.6676970633694,79.60000000000001,48.1060606060606,0.0,0.0,78.9059345983044,52.72951966063451
Right Defensive Midfield,16003,Fernando Francisco Reges,Manchester City,36,1589,73.7864077669903,37.84246575342466,62.52821670428893,9.016393442622952,4.842864502833593,78.0,49.24242424242424,52.38095238095239,0.0,71.27573677836091,49.48611270068496
Left Defensive Midfield,16181,Jordy Clasie,Southampton,25,1885,37.864077669902905,6.506849315068491,49.480812641083524,16.80327868852459,22.874806800618238,31.599999999999994,21.969696969696965,0.0,0.0,61.74808235769075,31.60723534586017
Left Defensive Midfield,18414,Bastian Schweinsteiger,Manchester United,39,1212,13.106796116504855,50.34246575342467,37.60722347629796,24.590163934426236,76.91911385883566,41.6,48.86363636363637,33.333333333333336,0.0,28.098506257569646,39.01985934317336
Left Defensive Midfield,5255,Matías Vecino Falero,Fiorentina,239,2530,20.873786407766985,22.260273972602736,52.00902934537246,35.24590163934427,31.684698608964446,37.2,56.81818181818181,33.333333333333336,6.976744186046512,42.91481631005248,33.914776389085155
Center Defensive Midfield,5510,Lucas Rodrigo Biglia,Lazio,236,2443,57.76699029126215,84.24657534246576,64.74040632054177,75.81967213114754,50.643997939206585,52.79999999999999,49.621212121212125,66.66666666666667,25.581395348837212,47.315300767056925,63.735594371277564
Left Defensive Midfield,5554,Blerim Džemaili,Genoa,233,2053,15.048543689320384,19.178082191780824,46.77200902934538,45.90163934426229,16.743946419371465,23.599999999999998,38.25757575757576,61.904761904761905,18.6046511627907,21.457408155026247,30.061358045381333
Right Defensive Midfield,6305,Milan Badelj,Fiorentina,239,2332,45.63106796116505,35.78767123287671,31.91873589164786,49.59016393442623,53.78670788253477,24.0,44.31818181818181,14.285714285714285,6.976744186046512,23.29430763019782,37.355499392589785
Center Defensive Midfield,6577,Zdravko Kuzmanović,Udinese,230,1214,13.106796116504855,45.034246575342465,36.11738148984199,21.721311475409838,22.153529108706852,0.0,68.56060606060606,0.0,0.0,69.17642309245056,29.26757202064694
Center Defensive Midfield,6994,Marten de Roon,Atalanta,228,3279,51.45631067961165,29.452054794520542,93.45372460496614,18.852459016393443,30.602782071097373,77.2,68.93939393939394,9.523809523809526,4.651162790697675,59.93136859103756,48.314797998664396
Right Defensive Midfield,6997,Borja Valero Iglesias,Fiorentina,239,3274,8.7378640776699,32.363013698630134,30.33860045146727,85.24590163934427,38.33075734157651,13.600000000000003,15.909090909090907,47.61904761904762,37.2093023255814,42.7735163504239,36.914587787728905
Center Defensive Midfield,7024,Jorge Luiz Frello Filho,Napoli,227,2972,53.398058252427184,45.034246575342465,64.83069977426636,80.32786885245902,88.09891808346212,33.199999999999996,49.621212121212125,0.0,27.906976744186046,52.321356479612426,54.65491675456528
Center Defensive Midfield,7041,Nicola Rigoni,Chievo,231,2049,21.35922330097087,41.095890410958916,46.54627539503386,11.885245901639344,35.85780525502319,32.4,38.63636363636363,61.904761904761905,9.30232558139535,41.98627371820751,36.781355287499416
Center Defensive Midfield,7042,Ivan Radovanović,Chievo,231,2338,14.077669902912623,42.80821917808219,24.966139954853272,9.836065573770492,33.38485316846986,13.200000000000003,38.25757575757576,0.0,0.0,60.75898264029068,29.223326664655634
Center Defensive Midfield,7051,Daniele De Rossi,AS Roma,229,2150,16.019417475728154,3.082191780821921,0.0,24.590163934426236,60.89644513137558,6.400000000000001,19.696969696969695,19.04761904761905,18.6046511627907,52.13968510294712,22.38951286193097
Center Defensive Midfield,7127,Francesco Magnanelli,Sassuolo,232,3179,35.43689320388349,89.55479452054796,61.444695259593686,31.967213114754102,72.07624935600205,48.80000000000001,63.25757575757576,9.523809523809526,4.651162790697675,72.5878078320549,57.299635892223954
Left Defensive Midfield,7147,Andrea Bertolacci,AC Milan,243,1969,20.388349514563103,50.34246575342467,59.09706546275395,36.47540983606557,25.45079855744462,47.599999999999994,56.43939393939392,19.04761904761905,9.30232558139535,51.41299959628582,41.215637451673345
