main_position,player_id,player_name,team,team_id,minutes_played,xg_total_per90,goals_minus_xg_per90,goals_scored_per90,shot_accuracy,chances_created_per90,dribble_success_rate,dribbles_completed_per90,goal_assists_per90,penalties_won_per90,key_passes_per90,progressive_carries_rate,headed_shot_duel_rate,fouls_won_per90,progressive_carries_per90,pass_completion_rate,ball_recoveries_per90,pressures_per90,rating
Center Forward,3670,Jonathan Walters,Stoke City,30,1692,23.86363636363636,39.34426229508197,23.423423423423422,34.888924404666774,40.26548672566373,57.92,29.310344827586203,24.39024390243903,0.0,39.32038834951457,55.46822366943635,63.63999999999999,19.856459330143533,30.61797752808989,38.43547020615645,48.275862068965516,25.732311852185674,32.14152132799153
Right Center Forward,3810,Shinji Okazaki,Leicester City,22,2640,18.18181818181818,31.147540983606554,15.315315315315313,9.63720632891162,16.371681415929203,62.90461538461538,26.896551724137936,0.0,16.666666666666664,17.96116504854369,77.90253761509094,46.15,33.253588516746404,18.164794007490638,68.65292290313472,32.01970443349754,51.64488508337088,25.285014134408925
Center Forward,3842,Shane Long,Southampton,25,2163,28.40909090909091,57.377049180327866,36.93693693693693,33.322678599968036,53.53982300884957,50.92923076923077,16.896551724137932,39.02439024390244,0.0,50.4854368932039,48.371884123063104,59.089999999999996,31.57894736842105,17.602996254681646,39.56509460604351,34.72906403940886,39.8377647589004,39.46954344068314
Center Forward,3962,Diafra Sakho,West Ham United,40,1702,34.090909090909086,22.950819672131146,23.423423423423422,40.00319642000959,21.238938053097346,54.15384615384615,40.0,12.195121951219514,0.0,20.873786407766996,68.47069391421515,45.45,25.83732057416267,33.89513108614232,37.44704885625529,58.37438423645322,33.30328977016674,27.848561326664914
Center Forward,4041,José Salomón Rondón Giménez,West Bromwich Albion,27,2826,20.454545454545453,47.540983606557376,25.225225225225223,24.276809972830428,27.43362831858407,58.744615384615386,22.758620689655174,14.634146341463413,0.0,27.184466019417485,53.5593981585448,47.83,17.224880382775115,23.68913857677903,39.085004236091514,42.857142857142854,46.73276250563317,30.85101991429431
Center Forward,4269,Aleksandar Mitrović,Newcastle United,37,2070,48.86363636363637,22.950819672131146,35.13513513513513,36.53508070960524,41.15044247787611,63.29846153846154,26.896551724137936,41.463414634146346,22.222222222222225,36.407766990291265,57.75881428250618,75.76,48.086124401913864,29.49438202247191,62.948319683705186,40.88669950738916,49.166291122127085,37.445581834144974
Center Forward,4271,Andy Carroll,West Ham United,40,1221,43.18181818181818,77.04918032786885,59.45945945945945,43.69506153108518,39.82300884955753,55.93846153846154,25.17241379310345,17.073170731707318,0.0,40.29126213592234,0.0,84.62,37.79904306220095,6.08614232209738,31.26235526687377,57.63546798029557,26.99414150518251,47.96467255234023
Left Center Forward,4630,Saido Berahino,West Bromwich Albion,27,1598,30.681818181818176,22.950819672131146,19.819819819819816,24.532523573597572,35.840707964601776,83.91384615384617,57.931034482758626,0.0,27.77777777777778,39.32038834951457,37.772288344936,16.67,24.401913875598083,39.9812734082397,71.75939000282405,69.45812807881774,39.79269941415052,28.904767422410448
Center Forward,4807,Cameron Jerome,Norwich City,56,1789,31.818181818181813,8.196721311475411,13.513513513513512,0.8150871024452581,8.849557522123895,47.33538461538462,25.862068965517242,24.39024390243903,0.0,4.854368932038835,49.76420390747811,45.0,0.0,20.411985018726593,32.42022027675797,19.458128078817733,23.52410995944119,15.63036397039864
Center Forward,5198,Diego da Silva Costa,Chelsea,33,2551,37.49999999999999,44.26229508196721,37.83783783783783,43.75898993127698,30.08849557522124,55.61846153846154,56.896551724137936,41.463414634146346,0.0,24.271844660194176,57.466876263193356,80.0,36.602870813397125,57.49063670411986,80.4010166619599,30.541871921182263,25.64218116268589,43.15294964862587
Left Center Forward,5458,Odion Jude Ighalo,Watford,23,3390,40.90909090909091,34.42622950819672,35.13513513513513,52.29343135688029,29.646017699115045,70.90461538461538,48.275862068965516,12.195121951219514,27.77777777777778,30.097087378640776,65.82079496968336,35.71,24.880382775119614,33.52059925093633,70.77096865292292,43.5960591133005,32.13159080666968,35.240085924336725
