main_position,player_id,player_name,team,team_id,minutes_played,dribbles_completed_per90,dribble_success_rate,crosses_completed_per90,key_passes_per90,ball_recoveries_per90,pressures_per90,fouls_won_per90,goal_assists_per90,progressive_carries_per90,goals_scored_per90,goals_minus_xg_per90,progressive_carries_rate,chances_created_per90
Left Wing,6979,Stephan El Shaarawy,AS Roma,229,1403,12.407407407407407,38.33732057416267,7.82122905027933,15.987460815047022,29.05844155844156,36.33485754484699,6.413301662707838,20.689655172413794,26.378624218305852,54.255319148936174,46.96969696969697,31.118355065195573,18.338108882521485
Left Wing,7000,Eder Citadin Martins,Inter Milan,238,2514,13.7037037037037,44.41786283891547,18.99441340782123,16.300940438871475,37.17532467532468,33.52092859655294,34.679334916864605,17.24137931034483,22.342239909039225,48.93617021276596,46.96969696969697,31.51955867602808,18.051575931232087
Left Wing,7006,Alejandro Darío Gómez,Atalanta,228,3098,35.55555555555556,65.39074960127591,55.3072625698324,50.47021943573669,48.538961038961034,28.842771720014067,51.78147268408551,34.48275862068966,57.36213757816942,21.276595744680854,34.84848484848485,62.5877632898696,51.862464183381086
Right Wing,7022,Jesús Joaquín Fernández Sáez de la Torre,Genoa,233,1488,29.444444444444446,72.9066985645933,20.670391061452513,56.42633228840126,24.675324675324674,24.83292296869504,38.479809976247026,10.344827586206897,27.97043774872086,38.297872340425535,66.66666666666666,31.745235707121356,53.295128939828075
Left Midfield,7026,Giacomo Bonaventura,AC Milan,243,2906,34.81481481481482,67.22488038277511,31.284916201117312,52.03761755485894,71.75324675324676,31.797397115722823,53.68171021377671,41.37931034482759,58.840250142126216,19.148936170212767,21.21212121212121,34.90471414242728,54.72779369627507
Right Wing,7029,José María Callejón Bueno,Napoli,227,3253,2.037037037037037,30.80143540669857,10.614525139664805,28.526645768025084,29.05844155844156,42.947590573338026,37.52969121140142,27.58620689655173,3.2973280272882324,20.21276595744681,24.242424242424242,14.217652958876634,30.945558739255013
Left Wing,7037,Lorenzo Insigne,Napoli,227,3170,23.148148148148145,50.95693779904307,25.69832402234637,45.45454545454545,17.6948051948052,23.60182905381639,9.263657957244655,48.27586206896552,38.71517907902217,36.17021276595745,40.909090909090914,43.30491474423269,49.8567335243553
Right Wing,7109,Matteo Politano,Sassuolo,232,1024,26.666666666666668,22.567783094098885,21.22905027932961,37.93103448275862,56.81818181818182,52.40942666197679,31.353919239904993,29.31034482758621,53.666856168277434,45.744680851063826,59.09090909090909,42.62788365095286,39.828080229226366
Right Wing,7131,Domenico Berardi,Sassuolo,232,2437,20.370370370370374,49.38197767145136,27.932960893854748,29.780564263322884,30.194805194805202,46.78156876538868,64.13301662707838,37.931034482758626,24.445707788516202,26.595744680851062,18.181818181818183,19.508525576730193,33.5243553008596
Left Wing,7456,Diego Perotti,AS Roma,229,2622,33.888888888888886,82.71531100478468,68.15642458100558,56.42633228840126,37.17532467532468,61.02708406612734,41.80522565320665,51.724137931034484,68.50483229107448,13.829787234042554,30.303030303030305,52.48244734202607,60.17191977077364
Left Wing,7468,Iago Falqué Silva,AS Roma,229,1219,8.148148148148149,67.92264752791068,37.988826815642454,33.22884012539185,21.266233766233768,48.68097080548716,7.1258907363420425,24.13793103448276,21.716884593519048,14.893617021276597,36.36363636363637,23.169508525576735,34.67048710601719
Right Wing,7702,Alessio Cerci,Genoa,233,1307,29.074074074074076,31.91786283891546,54.7486033519553,36.99059561128527,36.85064935064935,44.31938093563138,51.78147268408551,22.413793103448278,57.02103467879478,28.723404255319153,24.242424242424242,60.20561685055165,37.82234957020057
Left Wing,7775,Emanuele Giaccherini,Bologna,240,2529,18.88888888888889,42.60366826156299,42.45810055865922,42.00626959247649,29.870129870129876,29.088990502989798,31.828978622327792,0.0,37.23706651506538,25.53191489361702,48.484848484848484,41.42427281845536,38.39541547277937
