main_position,player_id,player_name,team,team_id,minutes_played,saves_per90,save_percentage,xg_against_minus_goals_conceded_per90,keeper_sweeper_per90,penalty_save_percentage,aerial_dominance_index_per90,pass_completion_rate,rating,rating_normalizado,tackle_success_rate,tackles_successful_per90,interceptions_per90,interception_success_rate,pressures_per90,chances_created_per90,progressive_carries_per90,crosses_completed_per90,duels_won_per90,fouls_committed_per90,goals_scored_per90,goal_assists_per90,clearances_per90,blocks_per90,times_dribbled_past_per90,progressive_passes_per90,duel_success_rate,ball_recoveries_per90,dribbles_completed_per90,dribble_success_rate,key_passes_per90,shots_total_per90,xg_total_per90,fouls_won_per90,goals_minus_xg_per90,progressive_carries_rate,shot_accuracy,penalties_won_per90,headed_shot_duel_rate
Right Back,387417,Mattia Cassani,Sampdoria,234,2150,,,,,,,59.54500494559842,24.886250845311224,50.89815117672889,46.03941985868353,14.87603305785124,40.34090909090909,50.8,18.471337579617835,10.465116279069768,44.25655976676384,14.970059880239523,16.444444444444446,48.63945578231293,0.0,16.666666666666668,,,,,,,,,,,,,,,,,
Left Back,3221,Markus Suttner,Ingolstadt,189,1396,,,,,,,6.297395318166845,32.49558828012931,57.745798505942744,42.506507995537376,35.537190082644614,61.36363636363635,51.185185185185176,49.52229299363057,34.883720930232556,12.769679300291545,41.91616766467065,34.66666666666667,31.63265306122449,0.0,0.0,,,,,,,,,,,,,,,,,
Left Back,3510,Sead Kolašinac,Schalke 04,181,1662,,,,,,,51.665018133860876,35.19488400783365,60.17489635301632,43.882484194867985,40.9090909090909,35.22727272727273,41.7037037037037,56.63481953290871,29.069767441860467,25.830903790087454,44.91017964071857,41.77777777777777,60.544217687074834,15.151515151515152,0.0,,,,,,,,,,,,,,,,,
Right Back,3530,Hiroki Sakai,Hannover 96,178,2308,,,,,,,36.300692383778454,30.89817658432173,56.30828676117501,36.03570100409075,43.801652892561975,30.681818181818183,24.237037037037037,46.390658174097666,13.953488372093023,32.82798833819241,20.958083832335326,45.77777777777778,30.272108843537417,9.09090909090909,0.0,,,,,,,,,,,,,,,,,
Left Back,5544,Ricardo Iván Rodríguez Araya,Wolfsburg,179,2124,,,,,,,66.30398944939004,41.114370524751564,65.50184582596468,53.7002603198215,34.71074380165288,14.204545454545455,49.37777777777777,29.67091295116773,56.58914728682171,40.99125364431486,47.904191616766475,33.77777777777778,31.97278911564626,24.242424242424242,50.0,,,,,,,,,,,,,,,,,
Left Back,5569,Marvin Plattenhardt,Hertha Berlin,173,3047,,,,,,,51.9617540389054,29.93479476248519,55.44133888091323,37.78356266269989,14.049586776859503,28.97727272727273,65.95555555555555,17.038216560509557,35.27131782945736,32.01166180758017,37.125748502994014,12.444444444444445,34.69387755102041,15.151515151515152,45.833333333333336,,,,,,,,,,,,,,,,,
Right Back,5658,Łukasz Piszczek,Borussia Dortmund,180,1473,,,,,,,69.93076162215631,39.83579009571547,64.35125052971554,43.566381554481225,20.24793388429752,33.52272727272727,66.22222222222223,36.41188959660298,42.63565891472867,50.029154518950435,40.11976047904192,21.333333333333332,19.387755102040817,0.0,75.0,,,,,,,,,,,,,,,,,
Right Back,5681,Makoto Hasebe,Eintracht Frankfurt,184,2868,,,,,,,45.466534784042224,38.206328504713625,62.88489706500721,87.20714020081816,39.25619834710743,16.477272727272727,55.022222222222226,50.63694267515923,31.3953488372093,29.50437317784256,10.778443113772456,37.333333333333336,38.0952380952381,9.09090909090909,25.0,,,,,,,,,,,,,,,,,
Left Back,6040,Jonas Hector,FC Köln,186,2968,,,,,,,62.05077481041875,42.13608689475456,66.42128900116832,46.262551134250664,26.446280991735527,39.77272727272727,48.97777777777778,50.84925690021231,59.68992248062015,45.364431486880456,39.52095808383234,28.888888888888893,20.068027210884352,0.0,50.0,,,,,,,,,,,,,,,,,
Right Back,6309,Tin Jedvaj,Bayer Leverkusen,904,1038,,,,,,,25.123639960435227,28.46762734790824,54.12103404307453,39.8475269616958,23.140495867768593,44.31818181818182,52.681481481481484,48.14225053078556,10.852713178294575,34.81049562682215,20.359281437125752,23.555555555555557,44.55782312925171,0.0,0.0,,,,,,,,,,,,,,,,,
