main_position,player_id,player_name,team,team_id,minutes_played,saves_per90,save_percentage,xg_against_minus_goals_conceded_per90,keeper_sweeper_per90,penalty_save_percentage,aerial_dominance_index_per90,pass_completion_rate,rating
Goalkeeper,23635,John Ruddy,Norwich City,56,2542,37.2013651877133,14.32595573440645,34.04255319148937,25.90673575129534,0.0,16.298342541436465,38.05641251652711,25.90787792684433
Goalkeeper,3112,Anton Ciprian Tătărușanu,Fiorentina,239,3461,13.310580204778152,22.977867203219322,54.255319148936174,49.74093264248706,0.0,42.54143646408841,83.47289554869987,40.89609341488922
Goalkeeper,3742,Orestis Karnezis,Udinese,230,3550,48.80546075085323,30.543259557344083,30.851063829787247,28.497409326424876,12.5,40.05524861878453,35.235786690171885,31.936165253708893
Goalkeeper,5669,Wojciech Szczęsny,AS Roma,229,3184,50.17064846416381,73.48088531187128,81.91489361702128,60.62176165803109,0.0,52.348066298342545,74.21771705597179,69.13047269954076
Goalkeeper,6949,Gianluigi Buffon,Juventus,224,3264,21.501706484641634,97.82696177062378,93.61702127659575,30.051813471502598,33.33,22.928176795580114,94.75539885412077,76.2343716842945
Goalkeeper,7001,Samir Handanovič,Inter Milan,238,3377,55.631399317406135,79.39637826961774,90.42553191489363,51.295336787564786,16.67,49.03314917127072,79.68267959453505,74.7945710066791
Goalkeeper,7018,Emiliano Viviano,Sampdoria,234,3462,77.81569965870307,58.99396378269618,62.76595744680852,41.450777202072544,44.44,48.75690607734808,46.23182018510356,58.55936759018212
Goalkeeper,7028,José Manuel Reina Páez,Napoli,227,3443,0.0,26.96177062374247,68.08510638297874,51.295336787564786,0.0,33.56353591160221,95.30630233583078,46.80634343793065
Goalkeeper,7036,Gianluigi Donnarumma,AC Milan,243,2813,42.32081911262798,64.94969818913484,70.21276595744682,59.067357512953365,0.0,53.59116022099448,68.66460996033496,61.13453084070854
Goalkeeper,7055,Stefano Sorrentino,Palermo,2256,3269,67.57679180887372,45.27162977867204,31.914893617021278,47.15025906735752,0.0,77.90055248618786,40.94314676068752,41.37596482211786
Goalkeeper,7132,Andrea Consigli,Sassuolo,232,3461,45.05119453924914,64.6277665995976,68.08510638297874,45.5958549222798,50.0,52.624309392265204,70.95636844424855,61.886282198912355
Goalkeeper,7148,Mattia Perin,Genoa,233,2337,64.16382252559725,70.42253521126763,56.382978723404264,56.476683937823836,100.0,37.983425414364646,43.962097840458355,60.663299543120566
Goalkeeper,7157,Marco Sportiello,Atalanta,228,3375,52.21843003412968,58.35010060362175,68.08510638297874,34.71502590673576,42.86,36.04972375690608,41.339797267518726,56.9574237043802
Goalkeeper,7174,Antonio Mirante,Bologna,240,3089,49.14675767918088,50.543259557344086,72.3404255319149,64.24870466321244,12.5,64.64088397790057,48.23710885852798,59.770077157348304
Goalkeeper,7803,Albano Benjamín Bizzarri,Chievo,231,3271,66.55290102389077,68.53118712273644,65.95744680851064,33.160621761658035,50.0,39.77900552486189,36.9546055531071,59.97438157523729
Goalkeeper,8274,Pierluigi Gollini,Hellas Verona,226,2344,43.00341296928327,15.130784708249493,45.74468085106383,64.24870466321244,0.0,48.75690607734808,40.237990304098716,36.93676183220772
Goalkeeper,8662,Vid Belec,Carpi,1683,2820,51.877133105802045,45.07042253521129,45.74468085106383,34.19689119170985,25.0,40.745856353591165,8.373732921992062,41.88927269043728
Goalkeeper,9887,Rafael de Andrade Bittencourt Pinheiro,Hellas Verona,226,1122,68.60068259385665,50.30181086519116,28.723404255319164,32.12435233160622,0.0,14.502762430939228,51.38827677390921,35.99439816523405
Goalkeeper,11508,Łukasz Skorupski,Empoli,290,2909,44.7098976109215,38.99396378269618,41.48936170212767,68.39378238341969,0.0,59.25414364640884,77.23666813574262,44.17013984892168
