main_position,player_id,player_name,team,team_id,minutes_played,tackle_success_rate,tackles_successful_per90,interceptions_per90,interception_success_rate,clearances_per90,blocks_per90,duels_won_per90,times_dribbled_past_per90,progressive_passes_per90,duel_success_rate,goals_scored_per90,chances_created_per90
Right Center Back,16622,Mikel González de Martín Martínez,Real Sociedad,210,1575,37.945256842894636,31.443298969072163,38.52813852813853,56.24132078382965,51.35135135135136,50.37037037037037,34.26966292134831,36.71497584541063,23.559937727036846,41.59167107817187,0.0,5.555555555555556
Right Center Back,17054,Emiliano Daniel Velázquez Maldonado,Getafe,216,1023,47.41282339707536,64.43298969072164,64.93506493506493,61.07082240395,35.923423423423436,32.59259259259258,60.1123595505618,40.09661835748793,40.42553191489361,38.32715722604552,100.0,38.888888888888886
Left Center Back,19454,Ricardo Miguel Moreira da Costa,Granada,1049,1308,46.04424446944132,26.28865979381443,17.316017316017316,64.28020367227279,39.414414414414416,41.85185185185185,28.651685393258425,14.49275362318841,18.94135962636222,49.214752073407446,23.076923076923077,6.666666666666667
Right Center Back,20016,Kléper Laveran Lima Ferreira,Real Madrid,220,1942,73.26584176977877,37.62886597938144,48.48484848484848,69.7886128683845,26.12612612612613,55.92592592592591,33.146067415730336,38.164251207729464,31.240269849506998,56.590788777130754,15.384615384615385,35.55555555555556
Right Center Back,26012,David Navarro Pedrós,Levante UD,221,1859,43.47581552305962,19.587628865979383,34.1991341991342,47.369233143033476,43.24324324324324,25.555555555555554,19.101123595505616,21.256038647342997,24.85729112610275,39.12122816304923,0.0,0.0
Right Center Back,26087,Carlos Gurpegi Nausia,Athletic Club,215,1114,41.676040494938135,28.865979381443303,62.77056277056276,78.98472457954018,49.88738738738739,31.48148148148148,31.460674157303377,60.38647342995169,31.96678775298391,45.10322922181049,0.0,17.77777777777778
Right Center Back,26222,José Eduardo Rosa Vale de Castro,Rayo Vallecano,360,2048,31.252343457067866,32.47422680412371,40.25974025974026,62.99953710847092,33.8963963963964,32.59259259259258,33.146067415730336,18.84057971014493,66.78775298391281,30.880536439032998,30.76923076923077,23.333333333333332
Left Center Back,26669,Weligton Róbson Pena de Oliveira,Málaga,223,2792,66.17922759655042,45.36082474226804,39.39393939393939,49.020212930103376,42.117117117117125,45.18518518518518,46.06741573033708,42.99516908212561,49.61079398028022,61.231692253396865,0.0,21.11111111111111
Right Center Back,27144,Antonio Amaya Carazo,Rayo Vallecano,360,929,8.942632170978634,27.31958762886598,59.3073593073593,54.08116031476623,49.88738738738739,73.7037037037037,29.775280898876407,40.09661835748793,41.20394395433315,14.293276866066703,34.61538461538461,0.0
Right Center Back,27184,Marcos Alberto Angeleri,Málaga,223,1209,12.504686914135736,25.773195876288657,38.095238095238095,61.48742478012652,38.85135135135136,21.85185185185185,19.662921348314605,12.077294685990339,19.97924234561494,3.5292041644609142,0.0,15.555555555555555
Left Center Back,27239,Aleksandar Pantić,Eibar,322,1673,24.034495688038994,20.618556701030926,49.78354978354978,53.13994753896003,52.25225225225225,30.37037037037037,19.662921348314605,36.71497584541063,30.046704722366375,21.722251632256928,0.0,5.555555555555556
Left Center Back,27349,Heiko Westermann,Real Betis,218,1866,52.549681289838766,54.63917525773196,42.42424242424242,61.31769788612868,64.75225225225226,39.62962962962963,53.93258426966292,44.44444444444444,18.889465490399584,47.32662784542085,15.384615384615385,10.0
Right Center Back,27403,Santiago Vergini,Getafe,216,2230,55.92425946756655,37.113402061855666,76.62337662337663,71.50131152599907,30.2927927927928,25.555555555555554,35.95505617977528,40.57971014492754,20.80954852101712,49.214752073407446,0.0,4.444444444444445
Left Center Back,27482,Aderllan Leandro de Jesus Santos,Valencia,207,1581,1.256092988376456,37.113402061855666,58.008658008657996,66.1163400709767,42.117117117117125,52.222222222222214,34.26966292134831,30.917874396135268,16.294758692267774,0.0,0.0,5.555555555555556
Right Center Back,27656,Carl Medjani,Levante UD,221,1307,81.72103487064118,22.68041237113402,14.285714285714285,32.140101836136395,43.35585585585587,28.888888888888886,24.719101123595507,17.8743961352657,31.811105345096003,82.79512969825305,23.076923076923077,22.222222222222225
Left Center Back,3041,Ciaran Clark,Aston Villa,59,1513,10.873640794900645,14.948453608247423,42.85714285714286,61.07082240395,66.77927927927928,62.22222222222222,16.292134831460675,20.77294685990338,25.998962117280744,16.110817010764077,19.230769230769234,18.88888888888889
Right Center Back,3044,Chancel Mbemba Mangulu,Newcastle United,37,3108,43.98200224971878,56.18556701030928,38.961038961038966,57.55284678290386,77.36486486486488,51.481481481481474,57.865168539325836,39.61352657004831,33.31603528801244,42.91512263984472,0.0,12.222222222222221
Left Center Back,3077,Jan Vertonghen,Tottenham Hotspur,38,2718,78.1214848143982,48.96907216494844,13.41991341991342,40.41043048912204,44.48198198198199,45.55555555555555,49.438202247191015,18.84057971014493,30.77322262584327,72.04870301746955,0.0,17.77777777777778
Left Center Back,3081,Jamaal Lascelles,Newcastle United,37,942,0.0,7.216494845360826,70.56277056277057,63.863601296096284,95.27027027027029,68.88888888888887,7.865168539325844,20.77294685990338,23.456149455111568,5.876124933827419,73.07692307692307,21.11111111111111
Right Center Back,3090,Nicolás Hernán Otamendi,Manchester City,36,2807,49.15635545556805,74.7422680412371,69.69696969696969,72.81283752507328,65.65315315315317,40.0,79.7752808988764,53.623188405797094,41.10015568240788,50.167637197811885,11.538461538461538,13.333333333333334
Right Center Back,3101,Vincent Kompany,Manchester City,36,1217,62.50468691413573,40.72164948453608,41.125541125541126,77.14858818083628,59.34684684684686,30.0,44.38202247191011,51.20772946859904,43.487285936689155,64.70795835539086,53.846153846153854,24.444444444444443
Right Center Back,3244,John Stones,Everton,29,2916,78.1214848143982,39.69072164948454,24.242424242424242,64.28020367227279,25.450450450450457,65.18518518518516,41.57303370786517,20.289855072463773,28.022833419823556,75.40144697370744,0.0,13.333333333333334
Right Center Back,3263,Craig Cathcart,Watford,23,3201,23.753280839895012,20.618556701030926,12.12121212121212,61.48742478012652,53.153153153153156,31.48148148148148,20.786516853932586,16.908212560386477,32.12247016087181,24.7044291512264,7.6923076923076925,8.88888888888889
Left Center Back,3288,Miguel Ángel Britos Cabrera,Watford,23,2263,25.00937382827147,15.979381443298971,20.346320346320347,54.28174664403641,64.07657657657658,32.222222222222214,15.168539325842698,14.975845410628018,35.85884795018163,23.522145756131987,0.0,0.0
Right Center Back,3290,Federico Fernández,Swansea City,26,3009,69.85376827896513,61.340206185567006,38.961038961038966,78.1823792624595,59.234234234234236,51.481481481481474,63.48314606741574,45.410628019323674,48.93617021276595,66.43726839597672,7.6923076923076925,28.888888888888893
Left Center Back,3300,Maya Yoshida,Southampton,25,939,42.96962879640045,31.958762886597935,54.54545454545454,87.96482024378955,51.35135135135136,80.0,34.831460674157306,30.434782608695656,50.96004151530876,46.3208046585495,34.61538461538461,21.11111111111111
Right Center Back,3309,Sebastian Prödl,Watford,23,1783,62.50468691413573,39.175257731958766,20.346320346320347,48.07900015429717,45.27027027027028,40.370370370370374,42.69662921348314,22.222222222222225,18.474312402698494,64.70795835539086,38.46153846153847,11.111111111111112
Left Center Back,3311,Daley Blind,Manchester United,39,3284,30.221222347206606,51.03092783505154,48.48484848484848,75.60561641721957,30.743243243243253,54.8148148148148,51.12359550561797,42.99516908212561,72.28853139595225,28.498323628021875,7.6923076923076925,84.44444444444444
Left Center Back,3341,Steve Cook,AFC Bournemouth,28,3388,31.252343457067866,14.948453608247423,36.36363636363637,64.28020367227279,60.135135135135144,41.481481481481474,12.921348314606739,24.637681159420293,37.83082511676181,26.469031233456853,38.46153846153847,11.111111111111112
Left Center Back,3389,Eliaquim Mangala,Manchester City,36,2152,59.11136107986501,39.175257731958766,32.467532467532465,67.79817929331892,45.157657657657666,25.555555555555554,40.44943820224719,38.164251207729464,7.161390762843797,56.74960296453149,0.0,0.0
Left Center Back,3394,Laurent Koscielny,Arsenal,1,3094,47.16910386201725,34.02061855670103,46.75324675324675,75.43588952322172,55.855855855855864,57.03703703703703,37.07865168539326,17.39130434782609,31.914893617021274,50.27351332274572,42.30769230769231,28.888888888888893
Right Center Back,3407,Scott Dann,Crystal Palace,31,3293,48.83764529433821,13.917525773195877,18.614718614718615,51.42724888134546,48.9864864864865,56.29629629629629,15.168539325842698,14.975845410628018,29.060716139076277,51.84400917593083,50.0,23.333333333333332
Right Center Back,3456,Kurt Happy Zouma,Chelsea,33,1986,37.945256842894636,22.16494845360825,12.12121212121212,25.705909581854648,70.60810810810813,39.25925925925926,24.157303370786522,4.3478260869565215,7.005708354955892,41.59167107817187,15.384615384615385,0.0
Left Center Back,3471,Dejan Lovren,Liverpool,24,2080,41.113610798650164,34.02061855670103,18.614718614718615,45.48680759142107,66.77927927927928,49.629629629629626,32.58426966292134,39.61352657004831,37.363777893098074,35.29204164460914,0.0,37.77777777777778
Right Center Back,3475,Per Mertesacker,Arsenal,1,2249,68.74765654293213,16.494845360824744,15.584415584415584,80.35796944915907,45.720720720720735,17.777777777777775,17.97752808988764,7.729468599033817,23.144784639335754,70.58408328921828,0.0,4.444444444444445
