player_id,player,ultimo_equipo,ultimo_team_id,competicion
12583,Carlos Armando Gruezo Arboleda,VfB Stuttgart,174,Germany - 1. Bundesliga
12599,Carlos Antonio Ascues Ávila,Wolfsburg,179,Germany - 1. Bundesliga
12624,Anthony Ujah,Werder Bremen,176,Germany - 1. Bundesliga
12626,Emiliano Adrián Insúa Zapata,VfB Stuttgart,174,Germany - 1. Bundesliga
13126,Miiko Martín Albornoz Inola,Hannover 96,178,Germany - 1. Bundesliga
13206,Erik Durm,Borussia Dortmund,180,Germany - 1. Bundesliga
13291,Joelinton Cassio Apolinário de Lira,Hoffenheim,175,Germany - 1. Bundesliga
13319,Niko Bungert,FSV Mainz 05,177,Germany - 1. Bundesliga
13332,Romain Brégerie,Ingolstadt,189,Germany - 1. Bundesliga
13370,Zoltán Stieber,Hamburger SV,171,Germany - 1. Bundesliga
13675,Mario Vrančić,Darmstadt 98,872,Germany - 1. Bundesliga
15146,Mike-Steven Bähre,Hannover 96,178,Germany - 1. Bundesliga
15581,Bernd Leno,Bayer Leverkusen,904,Germany - 1. Bundesliga
15651,Juan Bernat Velasco,Bayern Munich,169,Germany - 1. Bundesliga
16534,Roman Neustädter,Schalke 04,181,Germany - 1. Bundesliga
17313,Thomas Kraft,Hertha Berlin,173,Germany - 1. Bundesliga
18399,Gaëtan Bussmann,FSV Mainz 05,177,Germany - 1. Bundesliga
19289,Ivica Olić,Hamburger SV,171,Germany - 1. Bundesliga
19295,Philipp Lahm,Bayern Munich,169,Germany - 1. Bundesliga
19836,Kevin Kuranyi,Hoffenheim,175,Germany - 1. Bundesliga
20010,Clemens Fritz,Werder Bremen,176,Germany - 1. Bundesliga
20027,Mevlüt Erdinç,Hannover 96,178,Germany - 1. Bundesliga
20037,Julian Baumgartlinger,FSV Mainz 05,177,Germany - 1. Bundesliga
20133,Xabier Alonso Olano,Bayern Munich,169,Germany - 1. Bundesliga
20200,Nicklas Bendtner,Wolfsburg,179,Germany - 1. Bundesliga
20355,Tomáš Pekhart,Ingolstadt,189,Germany - 1. Bundesliga
20415,Sebastian Boenisch,Bayer Leverkusen,904,Germany - 1. Bundesliga
20485,Almog Cohen,Ingolstadt,189,Germany - 1. Bundesliga
20499,Martin Stranzl,Borussia Mönchengladbach,185,Germany - 1. Bundesliga
20522,György Garics,Darmstadt 98,872,Germany - 1. Bundesliga
20871,Pierre Bengtsson,FSV Mainz 05,177,Germany - 1. Bundesliga
20959,Maurice Multhaup,Ingolstadt,189,Germany - 1. Bundesliga
21156,Stefan Aigner,Eintracht Frankfurt,184,Germany - 1. Bundesliga
21168,Marlon Frey,Bayer Leverkusen,904,Germany - 1. Bundesliga
22043,Ulisses Alexandre Garcia Lopes,Werder Bremen,176,Germany - 1. Bundesliga
22824,Sebastian Rode,Bayern Munich,169,Germany - 1. Bundesliga
22826,Jan-Ingwer Callsen-Bracker,Augsburg,172,Germany - 1. Bundesliga
23198,Michael Zetterer,Werder Bremen,176,Germany - 1. Bundesliga
23242,Tim Dierßen,Hannover 96,178,Germany - 1. Bundesliga
23266,Christian Träsch,Wolfsburg,179,Germany - 1. Bundesliga
23267,Paul Seguin,Wolfsburg,179,Germany - 1. Bundesliga
23268,Alexander Meier,Eintracht Frankfurt,184,Germany - 1. Bundesliga
23269,Felix Wiedwald,Werder Bremen,176,Germany - 1. Bundesliga
