player,avg_rating,team,pos,pos_role
Michael Krohn-Dehli,6.225,Denmark,Sub,Sub
Michael Lang,5.1425,Switzerland,DF,DR
Michael Murillo,5.5225,Panama,DF,DR
Michal Pazdan,5.91875,Poland,DF,DC
Michy Batshuayi,5.886666666666667,Belgium,"FW, Sub","FW, Sub"
Miguel Borja,5.98,Colombia,Sub,Sub
Miguel Layun,5.928666666666667,Mexico,"MF, Sub","AMR, Sub"
Miguel Trauco,6.010000000000001,Peru,DF,DL
Mikael Lustig,6.388125,Sweden,DF,DR
Milad Mohammadi,5.518,Iran,Sub,Sub
Milan Badelj,6.515000000000001,Croatia,"MF, Sub","MC, Sub"
Mile Jedinak,5.988333333333333,Australia,MF,MC
Milos Veljkovic,5.6625,Serbia,DF,DC
Miranda,5.947,Brazil,DF,DC
Mohamed Ben Amor,6.04,Tunisia,Sub,Sub
Mohamed El-Shenawy,5.80875,Egypt,GK,GK
Mohamed Elneny,5.730833333333333,Egypt,MF,DMC
Mohamed Kanno,6.15,Saudi Arabia,Sub,Sub
Mohamed Salah,6.045,Egypt,MF,"AMC, AMR"
Mohamed Shafy,5.805833333333333,Egypt,DF,DL
Mohammed Al Owais,5.8075,Saudi Arabia,GK,GK
Mohammed Al-Burayk,5.928333333333334,Saudi Arabia,DF,DR
Mohammed Al-Sahlawi,5.701666666666667,Saudi Arabia,"FW, Sub","FW, Sub"
Moon Seon-Min,5.665,South Korea,MF,"AMR, ML"
Morteza Pouraliganji,5.485454545454545,Iran,DF,DC
Motaz Hawsawi,6.2275,Saudi Arabia,DF,DC
Moubarak Boussoufa,5.61090909090909,Morocco,MF,"DMC, MC"
Mouez Hassen,6.843333333333334,Tunisia,GK,GK
Mousa Dembele,5.825,Belgium,"MF, Sub","DMC, MC, Sub"
Moussa Konate,6.0175,Senegal,Sub,Sub
Moussa Wague,5.889,Senegal,"DF, Sub","DR, Sub"
Munir Mohamedi,5.159000000000001,Morocco,GK,GK
N'Golo Kante,5.82,France,MF,"DMC, MC"
Nabil Dirar,5.98125,Morocco,DF,DR
Nabil Fekir,5.947272727272727,France,Sub,Sub
Nacer Chadli,5.715,Belgium,"DF, MF, Sub","DML, DMR, DR, MC, Sub"
Nacho,6.0024999999999995,Spain,DF,DR
Nadm Sliti,5.880909090909091,Tunisia,"MF, Sub","ML, Sub"
Nahitan Nandez,5.777058823529411,Uruguay,"MF, Sub","MC, MR, Sub"
Nemanja Matic,6.115833333333334,Serbia,MF,DMC
Nemanja Radonjic,6.135,Serbia,Sub,Sub
Neymar,6.3235,Brazil,FW,FWL
Nicolai Jrrgensen,5.579,Denmark,"FW, Sub","FW, Sub"
Nicolas Otamendi,5.9075,Argentina,DF,DC
Nicolas Tagliafico,5.745,Argentina,DF,"DC, DL"
