,avg_rating,player,score,revisar,player_id,ultimo_equipo,ultimo_team_id,posiciones,partidos_jugados
472,5.6850000000000005,Ricardo Domingos Barbosa Pereira,63.829787234042556,True,6352.0,Portugal,780.0,['Right Back'],1.0
473,6.19375,Ricardo Andrade Quaresma Bernardo,65.3061224489796,True,5215.0,Portugal,780.0,"['Right Midfield', 'Right Wing']",3.0
474,5.998125,Ricardo Iván Rodríguez Araya,71.11111111111111,True,5544.0,Switzerland,773.0,"['Left Back', 'Left Midfield']",4.0
475,5.670000000000001,Robbie Kruse,100.0,False,5494.0,Australia,792.0,"['Left Midfield', 'Left Wing']",3.0
476,5.6675,Robert Lewandowski,100.0,False,5668.0,Poland,789.0,['Center Forward'],3.0
477,6.12875,Roberto Firmino Barbosa de Oliveira,60.0,True,3535.0,Brazil,781.0,"['Right Attacking Midfield', 'Center Forward', 'Right Center Midfield', 'Center Attacking Midfield']",4.0
478,5.9045000000000005,Robin Olsen,100.0,False,5622.0,Sweden,790.0,['Goalkeeper'],5.0
479,4.99,Rodney Wallace,100.0,False,6326.0,Costa Rica,795.0,['Left Wing'],1.0
480,5.863,Rodrigo Bentancur Colmán,82.92682926829268,True,5260.0,Uruguay,783.0,"['Left Center Midfield', 'Center Attacking Midfield']",5.0
481,6.4125,Rodrigo Moreno Machado,77.77777777777779,True,5718.0,Spain,772.0,"['Right Midfield', 'Right Center Forward', 'Center Forward']",3.0
482,5.718571428571429,Romain Saïss,91.66666666666666,False,5219.0,Morocco,788.0,['Left Center Back'],2.0
483,5.701666666666667,Román Aureliano Torres Morcillo,51.162790697674424,True,5635.0,Panama,798.0,['Right Center Back'],3.0
484,6.04125,Roman Zobnin,100.0,False,5171.0,Russia,796.0,"['Right Defensive Midfield', 'Left Defensive Midfield', 'Left Center Midfield', 'Right Midfield', 'Center Defensive Midfield', 'Right Center Midfield']",5.0
485,5.9375,Romelu Lukaku Menama,78.78787878787878,True,3289.0,Belgium,782.0,"['Center Forward', 'Right Wing', 'Right Center Forward']",6.0
486,5.933333333333334,Roozbeh Cheshmi,100.0,False,5222.0,Iran,797.0,['Left Center Back'],1.0
487,6.060714285714285,Ruben Loftus-Cheek,100.0,False,3504.0,England,768.0,"['Right Attacking Midfield', 'Left Center Midfield', 'Right Center Midfield']",4.0
488,5.668125,Rui Pedro dos Santos Patrício,53.65853658536586,True,5205.0,Portugal,780.0,['Goalkeeper'],4.0
489,5.976666666666667,Rúrik Gíslason,85.71428571428572,False,5495.0,Iceland,793.0,"['Right Midfield', 'Left Midfield']",2.0
490,5.835,Sadio Mané,90.0,False,3629.0,Senegal,787.0,"['Left Wing', 'Right Center Forward']",3.0
491,5.77375,Saeid Ezatolahi Afagh,83.33333333333334,True,5722.0,Iran,797.0,['Center Defensive Midfield'],2.0
492,5.8675,Saîf-Eddine Khaoui,94.44444444444444,False,2974.0,Tunisia,777.0,['Left Center Midfield'],1.0
493,6.2299999999999995,Salem Mohammed Al Dawsari,78.04878048780488,True,5187.0,Saudi Arabia,799.0,"['Left Wing', 'Left Midfield', 'Center Attacking Midfield']",3.0
494,5.7475,Salif Sané,90.0,False,5664.0,Senegal,787.0,['Right Center Back'],3.0
495,6.235833333333333,Salman Mohammed Al Faraj,71.7948717948718,True,5178.0,Saudi Arabia,799.0,"['Center Attacking Midfield', 'Left Center Midfield', 'Left Wing']",3.0
496,5.476666666666667,Sam Morsy,100.0,False,3878.0,Egypt,774.0,['Left Center Midfield'],1.0
497,6.5600000000000005,Saman Ghoddos,100.0,False,5240.0,Iran,797.0,"['Right Midfield', 'Left Center Midfield']",3.0
498,5.82125,Sami Khedira,100.0,False,5566.0,Germany,770.0,['Right Center Midfield'],2.0
499,5.778333333333333,Samuel Yves Umtiti,83.87096774193549,True,5492.0,France,771.0,['Left Center Back'],6.0
500,6.0425,Santiago Arias Naranjo,77.77777777777779,True,5696.0,Colombia,769.0,['Right Back'],4.0
501,6.069090909090909,Sardar Azmoun,100.0,False,5224.0,Iran,797.0,['Center Forward'],3.0
502,5.8625,Sebastián Coates Nión,81.08108108108108,True,6300.0,Uruguay,783.0,['Right Center Back'],1.0
503,5.709375,Sebastian Larsson,100.0,False,5617.0,Sweden,790.0,['Right Center Midfield'],4.0
504,5.467499999999999,Sebastian Rudy,100.0,False,6039.0,Germany,770.0,['Right Defensive Midfield'],1.0
505,6.1375,Sergei Ignashevich,100.0,False,5174.0,Russia,796.0,"['Left Center Back', 'Center Back']",5.0
506,5.850833333333333,Sergej Milinković-Savić,91.30434782608697,False,5589.0,Serbia,786.0,"['Center Attacking Midfield', 'Left Center Midfield', 'Right Defensive Midfield']",3.0
507,6.005,Sergio Leonel Agüero del Castillo,52.17391304347826,True,3237.0,Argentina,779.0,"['Center Forward', 'Left Center Forward', 'Left Back']",4.0
508,6.10375,Sergio Busquets i Burgos,76.92307692307692,True,5203.0,Spain,772.0,"['Center Defensive Midfield', 'Left Defensive Midfield', 'Center Midfield']",4.0
509,5.861875,Sergio Ramos García,77.41935483870968,True,5201.0,Spain,772.0,['Left Center Back'],4.0
510,5.56,Seyed Majid Hosseini,100.0,False,5228.0,Iran,797.0,"['Left Center Back', 'Center Defensive Midfield']",3.0
511,5.715833333333333,Shinji Kagawa,100.0,False,5684.0,Japan,778.0,['Center Attacking Midfield'],3.0
512,5.78875,Shinji Okazaki,100.0,False,3810.0,Japan,778.0,"['Left Center Forward', 'Center Forward', 'Right Midfield']",3.0
513,5.836,Šime Vrsaljko,61.53846153846154,True,5461.0,Croatia,785.0,['Right Back'],6.0
514,5.79,Simon Thorup Kjær,64.28571428571428,True,5534.0,Denmark,776.0,['Right Center Back'],4.0
515,4.98,Sławomir Peszko,93.33333333333333,False,6340.0,Poland,789.0,['Left Wing'],1.0
516,6.174166666666667,Heung-Min Son,100.0,False,3083.0,South Korea,791.0,"['Center Forward', 'Left Center Forward', 'Right Center Forward', 'Left Wing', 'Right Wing']",3.0
517,5.6525,Stephan Lichtsteiner,100.0,False,5541.0,Switzerland,773.0,"['Right Back', 'Right Midfield']",3.0
518,5.7775,Steve Mandanda,100.0,False,3543.0,France,771.0,['Goalkeeper'],1.0
520,5.879166666666666,Steven Zuber,100.0,False,5548.0,Switzerland,773.0,['Left Wing'],3.0
521,6.061666666666667,Sverrir Ingi Ingason,85.71428571428572,False,5831.0,Iceland,793.0,"['Left Center Back', 'Right Center Back', 'Center Back']",2.0
522,5.4725,Taisir Jabir Al Jassim,71.7948717948718,True,5185.0,Saudi Arabia,799.0,['Right Center Midfield'],2.0
523,6.076428571428571,Takashi Inui,100.0,False,5687.0,Japan,778.0,"['Left Wing', 'Left Midfield']",4.0
524,6.156000000000001,Takashi Usami,100.0,False,6191.0,Japan,778.0,['Left Midfield'],2.0
525,5.816363636363636,Tarek Hamed,100.0,False,5262.0,Egypt,774.0,"['Left Center Midfield', 'Left Defensive Midfield', 'Right Center Midfield']",3.0
526,6.065,Thiago Alcântara do Nascimento,33.333333333333336,True,5208.0,Spain,772.0,"['Left Center Midfield', 'Right Midfield']",2.0
527,5.625,Thiago Rangel Cionek,78.78787878787878,True,5662.0,Poland,789.0,['Right Center Back'],1.0
528,6.078,Thiago Emiliano da Silva,66.66666666666667,True,3295.0,Brazil,781.0,['Right Center Back'],5.0
529,5.909642857142857,Thibaut Courtois,100.0,False,3509.0,Belgium,782.0,['Goalkeeper'],7.0
530,5.8306249999999995,Thomas Delaney,100.0,False,5527.0,Denmark,776.0,"['Left Center Midfield', 'Left Defensive Midfield']",4.0
531,5.6375,Thomas Lemar,100.0,False,3245.0,France,771.0,['Left Wing'],1.0
532,6.161,Thomas Meunier,100.0,False,3176.0,Belgium,782.0,"['Right Wing Back', 'Right Back', 'Right Midfield']",5.0
533,6.015,Thomas Müller,92.3076923076923,False,5562.0,Germany,770.0,"['Right Wing', 'Right Center Forward', 'Secondary Striker']",3.0
534,5.675,Thomas Vermaelen,100.0,False,6332.0,Belgium,782.0,"['Left Center Back', 'Left Wing Back']",3.0
535,6.401999999999999,Thorgan Hazard,100.0,False,5632.0,Belgium,782.0,"['Left Midfield', 'Right Wing']",2.0
536,5.596666666666667,Tim Cahill,100.0,False,6314.0,Australia,792.0,['Center Forward'],1.0
537,5.674166666666667,Timo Werner,100.0,False,5557.0,Germany,770.0,"['Center Forward', 'Left Wing', 'Left Center Forward', 'Right Wing']",3.0
538,5.58,Tin Jedvaj,100.0,False,6309.0,Croatia,785.0,"['Right Back', 'Right Wing Back']",1.0
539,5.94875,Toby Alderweireld,100.0,False,20005.0,Belgium,782.0,"['Right Center Back', 'Right Back']",6.0
540,5.976666666666667,Tom Rogić,80.0,True,5491.0,Australia,792.0,"['Center Attacking Midfield', 'Secondary Striker']",3.0
541,5.73375,Tomi Jurić,90.0,False,5493.0,Australia,792.0,['Center Forward'],3.0
542,6.2225,Tomoaki Makino,100.0,False,6338.0,Japan,778.0,['Left Center Back'],1.0
543,6.675,Toni Kroos,100.0,False,5574.0,Germany,770.0,"['Left Defensive Midfield', 'Right Defensive Midfield', 'Left Center Midfield', 'Center Defensive Midfield', 'Right Center Midfield']",3.0
544,5.915,Trent Alexander-Arnold,100.0,False,3664.0,England,768.0,['Right Midfield'],1.0
545,5.8875,Trent Sainsbury,100.0,False,5478.0,Australia,792.0,['Right Center Back'],3.0
547,5.45,Tyronne Ebuehi,100.0,False,5832.0,Nigeria,775.0,['Left Midfield'],1.0
548,5.707272727272727,Vahid Amiri,100.0,False,5241.0,Iran,797.0,['Left Center Midfield'],3.0
549,5.815625,Valon Behrami,100.0,False,5540.0,Switzerland,773.0,"['Right Center Midfield', 'Right Defensive Midfield']",4.0
551,5.718125,Victor Nilsson Lindelöf,73.6842105263158,True,3702.0,Sweden,790.0,['Right Center Back'],4.0
552,5.8741666666666665,Victor Moses,100.0,False,3963.0,Nigeria,775.0,"['Right Midfield', 'Right Wing', 'Right Wing Back', 'Right Back']",3.0
553,6.081,Viktor Claesson,100.0,False,5613.0,Sweden,790.0,"['Right Wing', 'Right Midfield']",5.0
554,5.326666666666667,Viktor Fischer,100.0,False,6303.0,Denmark,776.0,['Left Midfield'],1.0
555,5.9688888888888885,Vincent Kompany,100.0,False,3101.0,Belgium,782.0,"['Center Back', 'Left Center Back']",5.0
556,5.718333333333334,Vladimir Stojković,94.44444444444444,False,5601.0,Serbia,786.0,['Goalkeeper'],3.0
557,6.321666666666666,Wahbi Khazri,100.0,False,3196.0,Tunisia,777.0,['Center Forward'],3.0
558,6.09,Wilder José Cartagena Mendoza,71.11111111111111,True,6313.0,Peru,784.0,['Right Midfield'],1.0
559,6.2,Onyinye Wilfred Ndidi,76.47058823529412,True,3338.0,Nigeria,775.0,"['Right Center Midfield', 'Center Midfield']",3.0
560,6.060625,William Silva de Carvalho,78.04878048780488,True,5214.0,Portugal,780.0,"['Left Defensive Midfield', 'Left Center Midfield']",4.0
561,5.4175,William Vitved Kvist Jørgensen,60.46511627906976,True,5517.0,Denmark,776.0,['Right Center Midfield'],1.0
562,5.738333333333333,William Troost-Ekong,100.0,False,5455.0,Nigeria,775.0,"['Center Back', 'Right Center Back', 'Left Center Back']",3.0
