,main_position,player_id,player_name,team,team_id,minutes_played,interceptions_per90,ball_recoveries_per90,pressures_per90,chances_created_per90,pass_completion_rate,progressive_passes_per90,duels_won_per90,fouls_committed_per90,goals_scored_per90,goal_assists_per90,duel_success_rate
726,Left Defensive Midfield,3967,Claudio Ariel Yacob,West Bromwich Albion,27,3102,67.69662921348315,55.89887640449438,73.59550561797754,12.640449438202248,31.741573033707866,16.292134831460675,86.51685393258427,54.7752808988764,19.382022471910112,32.58426966292135,61.79775280898876
747,Left Defensive Midfield,4346,Gilbert Gianelli Imbula Wanga,Stoke City,30,1316,30.0561797752809,69.66292134831461,25.280898876404496,57.30337078651685,88.20224719101124,62.92134831460674,6.179775280898876,32.02247191011236,90.1685393258427,15.730337078651685,99.43820224719101
759,Center Defensive Midfield,4631,Leon Britton,Swansea City,26,1782,91.85393258426966,44.38202247191011,23.595505617977526,6.460674157303371,92.69662921348315,11.235955056179774,26.685393258426966,1.6853932584269662,19.382022471910112,15.730337078651685,21.34831460674157
784,Right Defensive Midfield,5475,John Michael Nchekwube Obinna,Chelsea,33,1799,62.92134831460674,58.42696629213483,51.12359550561798,11.235955056179774,98.31460674157303,29.49438202247191,60.67415730337079,61.51685393258427,19.382022471910112,56.17977528089888,28.08988764044944
785,Left Defensive Midfield,5489,Mile Jedinak,Crystal Palace,31,1505,89.8876404494382,40.73033707865169,82.02247191011236,39.8876404494382,5.617977528089887,72.47191011235955,73.03370786516854,90.73033707865169,19.382022471910112,15.730337078651685,14.04494382022472
792,Center Defensive Midfield,5685,Carlos Alberto Sánchez Moreno,Aston Villa,59,1519,20.224719101123593,83.70786516853933,28.651685393258425,4.49438202247191,48.87640449438202,24.719101123595504,77.52808988764045,33.146067415730336,19.382022471910112,15.730337078651685,40.44943820224719
799,Right Defensive Midfield,6631,Mathieu Flamini,Arsenal,1,1127,26.40449438202247,1.6853932584269662,14.606741573033707,17.696629213483146,87.07865168539325,25.842696629213485,34.831460674157306,23.876404494382022,19.382022471910112,15.730337078651685,3.3707865168539324
811,Center Defensive Midfield,7780,Lucas Pezzini Leiva,Liverpool,24,1975,56.46067415730337,55.89887640449438,85.95505617977528,71.91011235955057,66.85393258426966,91.01123595505618,98.87640449438202,94.9438202247191,19.382022471910112,49.43820224719101,67.13483146067416
819,Right Defensive Midfield,9452,Gary O''Neil,Norwich City,56,1784,80.33707865168539,82.58426966292134,48.31460674157304,25.0,13.764044943820226,69.10112359550563,73.87640449438202,69.9438202247191,19.382022471910112,15.730337078651685,53.08988764044944
820,Right Defensive Midfield,9463,Alexander Banor Tettey,Norwich City,56,2165,18.53932584269663,49.43820224719101,10.674157303370785,9.831460674157304,67.41573033707866,7.865168539325842,30.337078651685395,51.12359550561798,77.24719101123596,15.730337078651685,33.42696629213483
