,main_position,player_id,player_name,team,team_id,minutes_played,dribbles_completed_per90,dribble_success_rate,crosses_completed_per90,key_passes_per90,ball_recoveries_per90,pressures_per90,fouls_won_per90,goal_assists_per90,progressive_carries_per90,goals_scored_per90,goals_minus_xg_per90,progressive_carries_rate,chances_created_per90
958,Right Midfield,43081,Almen Abdi,Watford,23,2357,4.522613065326634,98.49246231155779,30.65326633165829,45.22613065326633,61.55778894472361,69.34673366834171,14.572864321608039,5.025125628140704,5.276381909547738,17.33668341708543,37.185929648241206,9.547738693467336,33.41708542713568
973,Left Wing,3145,Keita Baldé Diao,Lazio,236,1403,89.44723618090453,46.733668341708544,95.97989949748744,97.48743718592965,65.07537688442211,38.19095477386934,94.9748743718593,20.100502512562816,100.0,72.61306532663316,9.547738693467336,96.98492462311557,94.47236180904522
980,Right Wing,3531,Mohamed Salah,AS Roma,229,2990,38.69346733668342,26.633165829145728,41.70854271356784,73.86934673366834,33.165829145728644,28.14070351758794,33.91959798994975,71.60804020100502,52.76381909547738,92.21105527638191,95.7286432160804,54.2713567839196,75.62814070351759
1010,Left Midfield,5587,Adem Ljajić,Inter Milan,238,1497,55.27638190954774,52.51256281407035,63.06532663316583,98.99497487437185,36.68341708542713,18.592964824120603,29.145728643216078,71.60804020100502,90.45226130653266,55.27638190954774,42.211055276381906,34.17085427135678,98.99497487437185
1020,Right Midfield,5683,Keisuke Honda,AC Milan,243,2158,35.92964824120603,74.87437185929649,52.51256281407035,70.85427135678391,30.402010050251256,70.35175879396985,42.211055276381906,46.231155778894475,49.246231155778894,7.788944723618091,7.035175879396985,32.663316582914575,69.34673366834171
1036,Right Wing,6658,Cristian Tello Herrera,Fiorentina,239,1216,80.90452261306532,60.30150753768844,95.47738693467338,58.291457286432156,10.552763819095476,36.68341708542713,25.376884422110553,91.95979899497488,71.35678391959799,41.45728643216081,19.34673366834171,55.27638190954774,68.5929648241206
1043,Left Wing,6822,Carlos Joaquín Correa,Sampdoria,234,1310,82.91457286432161,44.221105527638194,2.512562814070352,60.050251256281406,78.14070351758794,88.94472361809045,91.95979899497488,20.100502512562816,91.95979899497488,59.54773869346733,14.824120603015075,66.83417085427136,56.28140703517588
1046,Left Wing,6859,Nicola Sansone,Sassuolo,232,2623,47.23618090452261,28.643216080402013,19.597989949748744,66.58291457286433,16.582914572864322,63.81909547738693,74.62311557788944,50.502512562814076,28.14070351758794,68.34170854271356,68.5929648241206,14.07035175879397,67.8391959798995
1067,Left Wing,6979,Stephan El Shaarawy,AS Roma,229,1403,13.5678391959799,19.34673366834171,5.527638190954774,11.306532663316583,22.8643216080402,35.678391959798994,4.0201005025125625,46.231155778894475,32.663316582914575,97.98994974874373,88.69346733668341,27.1356783919598,14.07035175879397
1079,Left Wing,7000,Eder Citadin Martins,Inter Milan,238,2514,15.07537688442211,29.64824120603015,26.884422110552762,12.814070351758794,40.45226130653266,31.155778894472363,59.04522613065326,39.949748743718594,23.115577889447238,95.47738693467338,88.69346733668341,28.14070351758794,13.316582914572864
1083,Left Wing,7006,Alejandro Darío Gómez,Atalanta,228,3098,73.36683417085426,76.63316582914574,86.18090452261306,80.90452261306532,67.33668341708542,20.100502512562816,83.66834170854271,79.14572864321609,88.44221105527639,59.54773869346733,63.5678391959799,80.90452261306532,80.40201005025126
1092,Right Wing,7022,Jesús Joaquín Fernández Sáez de la Torre,Genoa,233,1488,60.80402010050251,86.4321608040201,30.65326633165829,87.43718592964824,15.07537688442211,13.5678391959799,63.5678391959799,20.100502512562816,35.678391959798994,87.68844221105527,99.49748743718592,29.64824120603015,82.66331658291458
1095,Left Midfield,7026,Giacomo Bonaventura,AC Milan,243,2906,72.8643216080402,78.89447236180904,55.778894472361806,83.66834170854271,95.47738693467338,28.643216080402013,86.93467336683418,86.68341708542714,89.9497487437186,55.27638190954774,19.34673366834171,34.67336683417086,83.41708542713567
1098,Right Wing,7029,José María Callejón Bueno,Napoli,227,3253,1.507537688442211,10.552763819095476,9.045226130653267,39.949748743718594,22.8643216080402,49.74874371859296,62.562814070351756,60.80402010050251,1.507537688442211,56.78391959798995,26.13065326633166,6.030150753768844,45.47738693467337
1105,Left Wing,7037,Lorenzo Insigne,Napoli,227,3170,41.959798994974875,45.22613065326633,41.70854271356784,76.13065326633166,6.78391959798995,11.557788944723619,8.040201005025125,91.20603015075378,58.040201005025125,85.678391959799,78.89447236180904,48.743718592964825,78.89447236180904
1123,Right Wing,7109,Matteo Politano,Sassuolo,232,1024,50.0,4.0201005025125625,32.914572864321606,62.562814070351756,82.41206030150754,70.85427135678391,50.0,66.08040201005025,83.66834170854271,92.96482412060301,97.48743718592965,46.733668341708544,66.08040201005025
1131,Right Wing,7131,Domenico Berardi,Sassuolo,232,2437,34.92462311557789,40.7035175879397,46.733668341708544,45.22613065326633,26.38190954773869,59.2964824120603,95.47738693467338,84.17085427135679,27.63819095477387,72.61306532663316,11.809045226130653,11.557788944723619,50.753768844221106
1156,Left Wing,7456,Diego Perotti,AS Roma,229,2622,70.35175879396985,94.47236180904522,93.96984924623115,87.43718592964824,40.45226130653266,85.42713567839196,69.09547738693468,92.46231155778895,93.46733668341709,37.437185929648244,46.733668341708544,65.82914572864321,89.69849246231156
1166,Left Wing,7468,Iago Falqué Silva,AS Roma,229,1219,7.035175879396985,80.65326633165829,68.84422110552764,51.507537688442206,12.060301507537687,62.8140703517588,5.025125628140704,54.52261306532663,21.35678391959799,41.45728643216081,68.5929648241206,16.582914572864322,52.26130653266332
1178,Right Wing,7702,Alessio Cerci,Genoa,233,1307,59.54773869346733,12.060301507537687,85.17587939698493,60.050251256281406,39.19597989949749,53.266331658291456,83.66834170854271,50.502512562814076,87.93969849246231,77.38693467336684,26.13065326633166,78.39195979899498,61.55778894472361
1184,Left Wing,7775,Emanuele Giaccherini,Bologna,240,2529,30.65326633165829,24.623115577889447,74.87437185929649,69.34673366834171,24.371859296482413,21.105527638190953,51.507537688442206,5.025125628140704,55.0251256281407,68.34170854271356,90.95477386934674,44.72361809045226,64.07035175879398
