,main_position,player_id,player_name,team,team_id,minutes_played,saves_per90,save_percentage,xg_against_minus_goals_conceded_per90,keeper_sweeper_per90,penalty_save_percentage,aerial_dominance_index_per90,pass_completion_rate,tackle_success_rate,tackles_successful_per90,interceptions_per90,interception_success_rate,pressures_per90,chances_created_per90,progressive_carries_per90,crosses_completed_per90,duels_won_per90,fouls_committed_per90,goals_scored_per90,goal_assists_per90,clearances_per90,blocks_per90,times_dribbled_past_per90,progressive_passes_per90,duel_success_rate,ball_recoveries_per90,dribbles_completed_per90,dribble_success_rate,key_passes_per90,shots_total_per90,xg_total_per90,fouls_won_per90,goals_minus_xg_per90,progressive_carries_rate,shot_accuracy,penalties_won_per90,headed_shot_duel_rate,rating
65,Goalkeeper,8274,Pierluigi Gollini,Hellas Verona,226,2344,31.521739130434785,10.869565217391305,34.23913043478261,89.13043478260869,28.26086956521739,72.28260869565217,35.869565217391305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.731557241972894
66,Goalkeeper,8662,Vid Belec,Carpi,1683,2820,53.2608695652174,38.04347826086957,34.23913043478261,46.19565217391305,71.73913043478261,60.86956521739131,3.260869565217391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.095295756104754
67,Goalkeeper,9887,Rafael de Andrade Bittencourt Pinheiro,Hellas Verona,226,1122,84.78260869565217,46.73913043478261,12.5,38.04347826086957,28.26086956521739,17.391304347826086,56.52173913043478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.28178512481685
68,Goalkeeper,11508,Łukasz Skorupski,Empoli,290,2909,33.69565217391305,27.173913043478258,28.26086956521739,92.3913043478261,28.26086956521739,91.30434782608695,91.30434782608695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.18390993635825
69,Goalkeeper,12491,Federico Marchetti,Lazio,236,2717,26.6304347826087,30.434782608695656,45.108695652173914,55.434782608695656,85.32608695652173,35.869565217391305,83.69565217391305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.17240344377459
70,Goalkeeper,32037,Nicola Leali,Frosinone,291,3089,90.21739130434783,33.69565217391305,7.065217391304348,57.065217391304344,64.13043478260869,65.21739130434783,32.608695652173914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.534835847945054
71,Goalkeeper,34881,Daniele Padelli,Torino,241,3287,19.565217391304348,19.565217391304348,21.73913043478261,46.19565217391305,28.26086956521739,77.17391304347827,90.21739130434783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.25109168245517
72,Goalkeeper,38312,Eugenio Lamanna,Genoa,233,1213,55.434782608695656,43.47826086956522,34.23913043478261,83.69565217391305,28.26086956521739,32.608695652173914,73.36956521739131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.60533395289605
73,Goalkeeper,3630,Loris Karius,FSV Mainz 05,177,3145,82.06521739130434,78.26086956521739,80.43478260869566,94.02173913043478,85.32608695652173,86.95652173913044,44.565217391304344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.84310134173319
74,Goalkeeper,4600,Diego Orlando Benaglio,Wolfsburg,179,1937,41.30434782608695,5.434782608695652,1.0869565217391304,63.04347826086957,28.26086956521739,29.891304347826086,95.65217391304348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.73207552552428
75,Goalkeeper,5550,Yann Sommer,Borussia Mönchengladbach,185,2951,59.78260869565217,29.347826086956523,45.108695652173914,54.347826086956516,28.26086956521739,38.04347826086957,81.52173913043478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.70538235837396
