,main_position,player_id,player_name,team,team_id,minutes_played,xg_total_per90,goals_minus_xg_per90,goals_scored_per90,shot_accuracy,chances_created_per90,dribble_success_rate,dribbles_completed_per90,goal_assists_per90,penalties_won_per90,key_passes_per90,progressive_carries_rate,headed_shot_duel_rate,fouls_won_per90,progressive_carries_per90,pass_completion_rate,ball_recoveries_per90,pressures_per90
1001,Center Forward,5497,Gonzalo Gerardo Higuaín,Napoli,227,3263,96.66666666666667,99.0,98.66666666666667,66.66666666666666,81.66666666666667,83.66666666666667,64.66666666666666,20.333333333333332,55.666666666666664,87.33333333333333,40.0,16.666666666666664,13.333333333333334,68.66666666666667,86.0,25.0,16.0
1015,Right Center Forward,5661,M''Baye Babacar Niang,AC Milan,243,1402,37.666666666666664,45.0,40.666666666666664,33.666666666666664,25.666666666666664,22.0,94.0,57.666666666666664,26.666666666666668,24.0,94.0,2.3333333333333335,62.0,96.66666666666667,34.0,82.66666666666667,48.66666666666667
1021,Left Center Forward,5688,Carlos Arturo Bacca Ahumada,AC Milan,243,3373,63.66666666666667,69.33333333333334,76.66666666666667,87.33333333333333,72.0,65.0,41.0,20.333333333333332,55.666666666666664,75.33333333333333,71.33333333333334,77.66666666666666,4.0,55.00000000000001,50.66666666666667,47.0,29.333333333333332
1025,Right Center Forward,5743,Paulo Bruno Exequiel Dybala,Juventus,224,2698,83.66666666666667,87.33333333333333,90.66666666666666,62.0,99.33333333333333,43.333333333333336,95.33333333333334,95.66666666666667,62.66666666666667,99.33333333333333,76.66666666666667,10.333333333333334,84.66666666666667,99.33333333333333,82.66666666666667,96.66666666666667,64.0
1027,Center Forward,6334,Luis Fernando Muriel Fruto,Sampdoria,234,1774,28.333333333333332,54.333333333333336,34.66666666666667,32.0,78.66666666666666,38.666666666666664,98.66666666666667,92.33333333333333,76.66666666666667,74.0,78.0,91.33333333333333,69.0,93.33333333333333,51.33333333333333,82.0,54.666666666666664
1037,Center Forward,6686,Giampaolo Pazzini,Hellas Verona,226,1873,79.0,5.0,29.666666666666668,22.666666666666664,5.333333333333334,60.0,15.333333333333332,6.666666666666667,26.666666666666668,9.666666666666666,36.0,14.666666666666666,88.66666666666667,26.333333333333332,20.666666666666668,33.666666666666664,60.0
1055,Center Forward,6948,Sergio Floccari,Bologna,240,1399,23.666666666666668,84.33333333333334,54.666666666666664,85.33333333333334,43.333333333333336,90.0,90.33333333333333,25.333333333333336,26.666666666666668,49.333333333333336,8.0,19.666666666666664,81.33333333333333,68.0,86.66666666666667,92.0,96.66666666666667
1065,Center Forward,6973,Edin Džeko,AS Roma,229,1969,95.33333333333334,1.3333333333333335,50.0,28.000000000000004,39.0,54.0,54.666666666666664,80.66666666666666,70.0,30.0,29.333333333333332,94.0,80.66666666666666,58.666666666666664,20.0,44.666666666666664,38.333333333333336
1071,Center Forward,6987,Mauro Emanuel Icardi Rivero,Inter Milan,238,3005,52.33333333333333,78.33333333333333,73.66666666666667,35.66666666666667,46.666666666666664,19.333333333333332,2.0,54.0,55.666666666666664,45.666666666666664,41.333333333333336,71.33333333333334,23.333333333333332,1.3333333333333335,53.333333333333336,6.666666666666667,22.0
1085,Right Center Forward,7011,Fabio Quagliarella,Sampdoria,234,2727,42.66666666666667,24.0,25.0,50.66666666666667,9.333333333333334,60.66666666666667,19.666666666666664,16.0,26.666666666666668,15.0,16.0,10.333333333333334,47.0,16.666666666666664,28.666666666666668,50.33333333333333,80.66666666666666
1088,Right Center Forward,7017,Duván Esteban Zapata Banguera,Udinese,230,1406,76.33333333333333,66.33333333333333,81.0,4.0,13.666666666666666,23.0,56.333333333333336,57.666666666666664,26.666666666666668,8.333333333333332,98.66666666666667,64.33333333333333,90.0,77.33333333333333,16.666666666666664,88.0,61.33333333333333
1102,Center Forward,7033,Nikola Kalinić,Fiorentina,239,2337,91.66666666666666,14.666666666666666,72.0,36.666666666666664,19.333333333333332,79.0,20.666666666666668,54.0,95.0,17.0,26.0,72.33333333333334,95.33333333333334,40.666666666666664,91.33333333333333,3.3333333333333335,68.0
1109,Left Center Forward,7043,Roberto Inglese,Chievo,231,1313,7.000000000000001,54.333333333333336,16.333333333333332,5.0,31.666666666666664,86.0,54.666666666666664,25.333333333333336,83.66666666666667,38.0,6.0,91.33333333333333,86.0,16.0,32.0,68.0,83.33333333333334
1117,Right Center Forward,7054,Manuel Pucciarelli,Empoli,290,3093,10.666666666666668,34.66666666666667,11.666666666666666,30.0,75.33333333333333,56.666666666666664,53.333333333333336,37.333333333333336,26.666666666666668,76.0,55.333333333333336,19.666666666666664,68.0,82.0,96.66666666666667,76.33333333333333,84.66666666666667
1129,Center Forward,7125,Khouma El Hadji Babacar,Fiorentina,239,1031,49.333333333333336,72.0,67.66666666666666,28.666666666666668,5.333333333333334,31.333333333333336,10.666666666666668,37.333333333333336,26.666666666666668,4.0,20.666666666666668,45.33333333333333,49.666666666666664,8.0,64.0,16.666666666666664,24.0
1147,Right Center Forward,7165,Rodrigo Sebastián Palacio,Inter Milan,238,1404,13.333333333333334,20.0,5.333333333333334,98.66666666666667,96.33333333333334,80.0,83.33333333333334,92.33333333333333,26.666666666666668,95.66666666666667,50.0,45.33333333333333,96.66666666666667,96.0,74.0,79.66666666666666,93.33333333333333
1157,Center Forward,7457,Gregoire Defrel,Sassuolo,232,2239,19.333333333333332,60.333333333333336,29.666666666666668,33.666666666666664,61.66666666666667,32.666666666666664,46.33333333333333,72.66666666666667,90.0,56.00000000000001,46.0,45.33333333333333,62.0,69.33333333333334,98.66666666666667,79.66666666666666,92.66666666666666
1168,Right Center Forward,7471,Andrea Belotti,Torino,241,2907,60.333333333333336,31.666666666666664,52.0,52.0,25.666666666666664,47.333333333333336,23.666666666666668,42.66666666666667,99.66666666666667,30.0,67.33333333333333,45.33333333333333,94.33333333333334,59.333333333333336,85.33333333333334,71.33333333333334,68.66666666666667
1204,Center Forward,8093,Diego Falcinelli,Sassuolo,232,1034,16.0,24.0,11.666666666666666,17.333333333333336,84.66666666666667,80.66666666666666,49.666666666666664,37.333333333333336,26.666666666666668,88.66666666666667,13.333333333333334,26.666666666666668,89.33333333333333,29.333333333333332,87.33333333333333,57.99999999999999,100.0
1206,Center Forward,8103,Mattia Destro,Bologna,240,2346,47.0,28.999999999999996,34.66666666666667,61.33333333333333,2.0,2.666666666666667,35.0,31.333333333333336,26.666666666666668,2.0,63.33333333333333,19.666666666666664,72.66666666666667,41.333333333333336,14.666666666666666,18.0,44.666666666666664
1210,Center Forward,8180,Leonardo Pavoletti,Genoa,233,2056,76.33333333333333,87.33333333333333,88.33333333333333,41.333333333333336,45.0,62.33333333333333,3.3333333333333335,61.66666666666667,26.666666666666668,42.0,5.333333333333334,88.66666666666667,51.0,3.3333333333333335,47.333333333333336,20.333333333333332,39.666666666666664
1217,Left Center Forward,8272,Cyril Théréau,Udinese,230,3174,35.66666666666667,45.0,37.666666666666664,76.66666666666667,83.33333333333334,50.66666666666667,61.33333333333333,37.333333333333336,55.666666666666664,88.66666666666667,62.0,45.33333333333333,64.66666666666666,86.0,74.66666666666667,56.00000000000001,55.333333333333336
1233,Right Center Forward,8644,Sergio Pellissier,Chievo,231,928,52.33333333333333,78.33333333333333,76.66666666666667,56.333333333333336,76.33333333333333,0.6666666666666667,0.6666666666666667,6.666666666666667,26.666666666666668,84.0,60.0,10.333333333333334,77.33333333333333,30.666666666666664,68.0,9.0,52.666666666666664
