,main_position,player_id,player_name,team,team_id,minutes_played,progressive_passes_per90,chances_created_per90,dribbles_completed_per90,pass_completion_rate,duels_won_per90,pressures_per90,goals_scored_per90,goal_assists_per90,dribble_success_rate,duel_success_rate,ball_recoveries_per90
1140,Right Center Midfield,7149,Marco Benassi,Torino,241,1971,11.458333333333332,48.95833333333333,32.8125,13.541666666666666,24.479166666666664,51.041666666666664,76.04166666666666,59.375,40.10416666666667,36.45833333333333,25.0
1160,Right Center Midfield,7461,Luca Rigoni,Genoa,233,2045,18.75,39.58333333333333,12.5,53.125,21.354166666666664,58.333333333333336,86.45833333333334,12.5,60.9375,22.916666666666664,18.75
1164,Left Center Midfield,7465,Daniele Baselli,Torino,241,2352,10.416666666666668,89.58333333333334,89.58333333333334,25.0,56.770833333333336,85.41666666666666,81.25,51.041666666666664,38.02083333333333,41.66666666666667,63.541666666666664
1170,Right Center Midfield,7474,Afriyie Acquah,Torino,241,2059,40.10416666666667,59.375,73.95833333333334,16.666666666666664,7.291666666666667,14.583333333333334,54.166666666666664,76.5625,27.083333333333332,11.458333333333332,84.375
1176,Left Center Midfield,7698,Joseph Alfred Duncan,Sassuolo,232,2524,85.41666666666666,84.375,77.08333333333334,12.5,72.39583333333334,80.20833333333334,30.208333333333332,86.45833333333334,32.29166666666667,70.3125,81.25
1209,Left Center Midfield,8173,Marco Parolo,Lazio,236,2816,40.10416666666667,46.875,7.291666666666667,51.041666666666664,28.645833333333332,78.125,60.9375,12.5,77.60416666666666,3.125,9.375
1212,Left Center Midfield,8187,Marcel Büchel,Empoli,290,1695,28.125,55.208333333333336,54.6875,62.5,28.645833333333332,57.291666666666664,66.66666666666666,39.0625,68.75,15.625,27.083333333333332
1221,Right Center Midfield,8280,Godfred Donsah,Bologna,240,1691,16.666666666666664,4.166666666666666,60.416666666666664,8.333333333333332,11.458333333333332,11.458333333333332,66.66666666666666,39.0625,42.1875,10.416666666666668,12.5
1226,Left Center Midfield,8420,Luca Cigarini,Atalanta,228,1966,87.5,80.20833333333334,28.645833333333332,44.79166666666667,79.16666666666666,46.875,60.9375,59.375,73.95833333333334,86.45833333333334,71.875
1246,Left Center Midfield,8851,Saphir Sliti Taïder,Bologna,240,2343,23.958333333333336,29.166666666666668,8.854166666666668,73.95833333333334,52.083333333333336,70.83333333333334,11.458333333333332,30.729166666666668,13.020833333333334,43.75,47.39583333333333
1260,Right Center Midfield,10030,Davide Biondini,Sassuolo,232,1122,56.25,18.229166666666664,17.1875,11.458333333333332,16.666666666666664,77.08333333333334,11.458333333333332,12.5,35.41666666666667,44.79166666666667,23.4375
1266,Right Center Midfield,10919,Juraj Kucka,AC Milan,243,2337,52.083333333333336,64.58333333333334,86.45833333333334,26.041666666666668,96.875,83.33333333333334,30.208333333333332,51.041666666666664,21.875,96.875,49.47916666666667
1304,Left Center Midfield,18027,Matteo Brighi,Bologna,240,1308,27.083333333333332,20.833333333333336,17.1875,71.875,78.125,96.875,11.458333333333332,12.5,19.791666666666664,7.291666666666667,59.375
1312,Left Center Midfield,20004,Paul Pogba,Juventus,224,3076,65.625,81.25,96.875,60.416666666666664,61.458333333333336,43.75,94.27083333333334,95.83333333333334,53.645833333333336,52.083333333333336,93.75
1335,Right Center Midfield,24722,Emmanuel Agyemang-Badu,Udinese,230,2799,17.708333333333336,25.0,44.79166666666667,40.625,16.666666666666664,26.041666666666668,71.35416666666666,30.729166666666668,33.33333333333333,51.041666666666664,60.416666666666664
1376,Right Center Midfield,31273,Marco Crimi,Carpi,1683,1033,31.25,32.8125,61.458333333333336,3.125,98.95833333333334,100.0,11.458333333333332,55.729166666666664,7.291666666666667,39.58333333333333,72.91666666666666
1386,Right Center Midfield,32807,Fredy Alejandro Guarín Vásquez,Inter Milan,238,1027,58.333333333333336,71.875,90.625,14.583333333333334,19.791666666666664,63.541666666666664,54.166666666666664,55.729166666666664,77.60416666666666,8.333333333333332,58.333333333333336
1395,Right Center Midfield,36364,Dávid Ivan,Sampdoria,234,1120,3.125,35.41666666666667,3.125,72.91666666666666,97.91666666666666,95.83333333333334,54.166666666666664,12.5,1.0416666666666665,30.208333333333332,6.25
1407,Left Center Midfield,40251,Daniele Croce,Empoli,290,1778,8.333333333333332,55.208333333333336,51.041666666666664,82.29166666666666,56.770833333333336,93.75,11.458333333333332,39.0625,5.208333333333334,66.14583333333334,70.83333333333334
1413,Left Center Midfield,40349,Ivaylo Chochev,Palermo,2256,1959,22.916666666666664,16.666666666666664,10.9375,33.33333333333333,73.95833333333334,86.45833333333334,11.458333333333332,59.375,67.70833333333334,82.29166666666666,20.833333333333336
1432,Left Center Midfield,45591,Franco Brienza,Bologna,240,1499,81.25,91.66666666666666,75.0,19.791666666666664,22.916666666666664,53.125,89.0625,88.54166666666666,43.75,87.5,79.16666666666666
1442,Left Center Midfield,386512,Alessandro Frara,Frosinone,291,1302,44.79166666666667,13.020833333333334,14.583333333333334,4.166666666666666,2.083333333333333,31.25,76.04166666666666,12.5,60.9375,2.083333333333333,38.02083333333333
1462,Left Center Midfield,387476,Raphael Martinho Alves de Lima,Carpi,1683,939,6.25,5.208333333333334,47.91666666666667,5.208333333333334,36.97916666666667,30.208333333333332,11.458333333333332,12.5,13.020833333333334,70.3125,4.166666666666666
1472,Right Center Midfield,3097,Pascal Groß,Ingolstadt,189,2970,100.0,98.95833333333334,38.54166666666667,2.083333333333333,35.41666666666667,87.5,30.208333333333332,72.39583333333334,98.4375,29.166666666666668,39.58333333333333
1494,Left Center Midfield,5208,Thiago Alcântara do Nascimento,Bayern Munich,169,1467,97.91666666666666,94.79166666666666,98.95833333333334,96.875,95.83333333333334,54.166666666666664,71.35416666666666,88.54166666666666,98.4375,93.75,88.54166666666666
1510,Right Center Midfield,5562,Thomas Müller,Bayern Munich,169,2377,13.541666666666666,95.83333333333334,62.5,37.5,1.0416666666666665,5.208333333333334,100.0,67.70833333333334,56.25,20.833333333333336,1.0416666666666665
1549,Left Center Midfield,8206,Arturo Erasmo Vidal Pardo,Bayern Munich,169,2196,80.20833333333334,86.45833333333334,10.9375,98.95833333333334,93.22916666666666,41.66666666666667,83.85416666666666,91.66666666666666,60.9375,84.375,19.791666666666664
1730,Right Center Midfield,10287,İlkay Gündoğan,Borussia Dortmund,180,2024,98.95833333333334,51.041666666666664,95.83333333333334,94.79166666666666,32.29166666666667,33.33333333333333,37.5,76.5625,94.27083333333334,98.95833333333334,96.875
1758,Left Center Midfield,12304,Alfredo Morales,Ingolstadt,189,1675,35.9375,15.104166666666666,65.625,1.0416666666666665,84.375,76.04166666666666,40.625,39.0625,19.791666666666664,100.0,33.33333333333333
1767,Left Center Midfield,12551,Max Christiansen,Ingolstadt,189,1108,37.5,30.729166666666668,13.541666666666666,6.25,59.375,72.91666666666666,11.458333333333332,55.729166666666664,6.25,81.25,98.95833333333334
1789,Right Center Midfield,20010,Clemens Fritz,Werder Bremen,176,2687,50.0,18.229166666666664,63.541666666666664,22.916666666666664,81.25,25.0,30.208333333333332,45.3125,87.5,73.95833333333334,100.0
1825,Left Center Midfield,24914,Edgar Prib,Hannover 96,178,1474,51.041666666666664,59.375,58.333333333333336,7.291666666666667,53.125,75.0,11.458333333333332,72.39583333333334,11.458333333333332,31.770833333333332,41.66666666666667
