player_id,player,ultimo_equipo,ultimo_team_id,posiciones,partidos_jugados
3665,Andrew Philip King,Leicester City,22,"['Right Center Midfield', 'Right Defensive Midfield', 'Center Defensive Midfield', 'Left Defensive Midfield', 'Right Center Forward', 'Left Midfield', 'Left Center Forward', 'Center Attacking Midfield', 'Right Midfield', 'Left Center Midfield']",25
3666,Robert Kenedy Nunes do Nascimento,Chelsea,33,"['Left Back', 'Right Center Midfield', 'Center Attacking Midfield', 'Right Wing', 'Left Wing']",14
3668,Theo Walcott,Arsenal,1,"['Left Defensive Midfield', 'Left Wing', 'Right Wing', 'Center Forward', 'Right Defensive Midfield']",28
3669,Virgil van Dijk,Southampton,25,"['Left Center Back', 'Right Center Back']",34
3670,Jonathan Walters,Stoke City,30,"['Right Wing', 'Center Forward', 'Right Midfield', 'Center Defensive Midfield', 'Right Defensive Midfield', 'Left Wing', 'Left Back', 'Left Center Forward']",27
3671,José Leonardo Ulloa,Leicester City,22,"['Right Midfield', 'Left Midfield', 'Right Center Forward', 'Left Center Forward', 'Center Defensive Midfield', 'Center Attacking Midfield', 'Center Forward', 'Right Back']",29
3683,Tom Cleverley,Everton,29,"['Left Wing', 'Center Attacking Midfield', 'Right Wing', 'Right Defensive Midfield', 'Left Center Midfield', 'Left Midfield', 'Center Defensive Midfield', 'Left Defensive Midfield']",22
3684,Cheikhou Kouyaté,West Ham United,40,"['Right Center Midfield', 'Left Center Midfield', 'Right Wing', 'Right Back', 'Left Defensive Midfield', 'Center Defensive Midfield', 'Right Defensive Midfield', 'Left Center Back', 'Right Center Back']",34
3685,Jay Rodriguez,Southampton,25,"['Left Wing', 'Right Wing', 'Right Center Forward', 'Center Attacking Midfield', 'Left Midfield', 'Right Defensive Midfield', 'Left Center Forward']",12
3693,Damien Delaney,Crystal Palace,31,['Left Center Back'],32
3708,Kelechi Promise Iheanacho,Manchester City,36,"['Left Wing', 'Center Forward', 'Left Wing Back', 'Center Attacking Midfield', 'Right Center Forward', 'Left Center Forward', 'Left Midfield', 'Right Defensive Midfield', 'Left Defensive Midfield', 'Right Wing']",26
3709,Daniel Amartey,Leicester City,22,"['Right Back', 'Right Midfield', 'Left Midfield']",4
3713,Calum Chambers,Arsenal,1,"['Right Center Back', 'Left Center Midfield', 'Right Wing', 'Left Wing', 'Right Defensive Midfield', 'Right Center Midfield', 'Center Forward', 'Center Attacking Midfield', 'Left Center Back']",12
3721,Etienne Capoue,Watford,23,"['Right Center Midfield', 'Right Defensive Midfield', 'Left Center Midfield', 'Left Defensive Midfield', 'Left Midfield', 'Right Midfield', 'Center Attacking Midfield']",33
3722,Steven Taylor,Newcastle United,37,['Right Center Back'],10
3725,José Holebas,Watford,23,['Left Back'],11
3726,Gerard Deulofeu Lázaro,Everton,29,"['Center Forward', 'Right Wing', 'Right Center Midfield', 'Center Attacking Midfield', 'Right Midfield']",26
3731,Adrian Mariappa,Crystal Palace,31,"['Right Back', 'Right Center Back']",3
3807,Ryan Allsop,AFC Bournemouth,28,['Goalkeeper'],1
3810,Shinji Okazaki,Leicester City,22,"['Right Center Forward', 'Left Center Forward', 'Right Midfield', 'Left Midfield', 'Center Attacking Midfield']",36
3812,Christian Fuchs,Leicester City,22,"['Left Midfield', 'Right Wing', 'Left Back']",32
3813,Wes Morgan,Leicester City,22,"['Left Center Back', 'Right Center Back']",38
3814,Riyad Mahrez,Leicester City,22,"['Left Midfield', 'Right Midfield', 'Right Wing', 'Right Center Forward', 'Center Attacking Midfield']",37
3815,Kasper Schmeichel,Leicester City,22,['Goalkeeper'],38
3828,Steven Davis,Southampton,25,"['Right Center Midfield', 'Right Defensive Midfield', 'Left Defensive Midfield', 'Center Attacking Midfield', 'Left Center Midfield', 'Right Wing', 'Right Midfield', 'Left Midfield', 'Left Wing', 'Right Wing Back', 'Left Center Back', 'Right Attacking Midfield', 'Left Center Forward']",34
3831,Dušan Tadić,Southampton,25,"['Right Wing', 'Left Wing', 'Right Midfield', 'Left Midfield', 'Left Center Back', 'Left Wing Back', 'Center Attacking Midfield']",34
3834,Ivan Toney,Newcastle United,37,"['Left Center Forward', 'Right Center Midfield']",2
3842,Shane Long,Southampton,25,"['Left Wing', 'Right Wing', 'Left Center Forward', 'Center Forward', 'Center Attacking Midfield', 'Left Attacking Midfield', 'Right Center Forward']",28
3843,Angelo Obinze Ogbonna,West Ham United,40,"['Left Center Back', 'Left Back']",27
3874,Mark Noble,West Ham United,40,"['Left Center Midfield', 'Right Center Midfield', 'Right Defensive Midfield', 'Left Defensive Midfield', 'Center Attacking Midfield', 'Center Defensive Midfield']",37
3897,Pedro Mba Obiang Avomo,West Ham United,40,"['Center Defensive Midfield', 'Left Center Midfield', 'Left Defensive Midfield', 'Right Center Midfield', 'Right Wing', 'Left Wing', 'Center Attacking Midfield', 'Left Midfield', 'Right Defensive Midfield', 'Right Midfield', 'Center Midfield']",23
3908,Nick Powell,Manchester United,39,"['Right Defensive Midfield', 'Center Forward']",1
3944,Gylfi Þór Sigurðsson,Swansea City,26,"['Center Attacking Midfield', 'Left Attacking Midfield', 'Right Wing', 'Right Midfield', 'Right Defensive Midfield', 'Right Center Midfield', 'Center Forward', 'Left Wing', 'Left Center Midfield', 'Right Attacking Midfield', 'Left Midfield', 'Left Defensive Midfield']",36
3953,Aaron Lennon,Everton,29,"['Right Midfield', 'Center Forward', 'Right Wing', 'Left Wing', 'Right Wing Back', 'Left Midfield', 'Center Attacking Midfield', 'Left Attacking Midfield']",25
3957,César Azpilicueta Tanco,Chelsea,33,"['Left Back', 'Right Back', 'Left Center Back', 'Center Attacking Midfield']",37
3958,Pedro Eliezer Rodríguez Ledesma,Chelsea,33,"['Left Wing', 'Right Wing', 'Right Midfield', 'Left Midfield', 'Right Wing Back', 'Left Center Midfield']",29
3960,José Miguel da Rocha Fonte,Southampton,25,"['Right Center Back', 'Center Back', 'Left Center Back']",37
3961,N''Golo Kanté,Leicester City,22,"['Left Center Forward', 'Center Attacking Midfield', 'Left Midfield', 'Left Center Midfield', 'Right Defensive Midfield', 'Left Defensive Midfield', 'Right Center Midfield']",37
3962,Diafra Sakho,West Ham United,40,"['Center Forward', 'Right Center Forward', 'Right Midfield', 'Left Center Forward', 'Right Wing', 'Center Attacking Midfield', 'Left Midfield']",21
3963,Victor Moses,West Ham United,40,"['Left Wing', 'Right Midfield', 'Right Wing', 'Center Forward', 'Right Center Forward', 'Center Defensive Midfield', 'Left Midfield', 'Right Back']",21
3966,Charlie Austin,Southampton,25,"['Center Forward', 'Left Wing', 'Left Center Forward', 'Right Center Forward', 'Right Center Midfield']",7
